# control seed=11 started 2026-02-25T19:27:41.063081
# cmd: C:\Users\btisl\miniconda3\python.exe -m simulation.engine --seed 11 --epochs 500 --episodes 10 --protocol 0 --declare-cost 1.0 --query-cost 1.5 --respond-cost 0.8 --output-dir D:\Claude_Code\project_7\dynamic-cross-origin-constraint\data\campaign\control\seed_11

Epoch  82 | Survival: 0.00 | Target: 0.00 | Reward A: 32.145
Epoch  83 | Survival: 0.90 | Target: 0.90 | Reward A: 20.617
Epoch  84 | Survival: 0.00 | Target: 0.00 | Reward A: 64.690
Epoch  85 | Survival: 0.10 | Target: 0.10 | Reward A: 49.177
Epoch  86 | Survival: 0.30 | Target: 0.30 | Reward A: 38.173
Epoch  87 | Survival: 0.00 | Target: 0.00 | Reward A: 33.384
Epoch  88 | Survival: 0.00 | Target: 0.00 | Reward A: 18.476
Epoch  89 | Survival: 0.10 | Target: 0.10 | Reward A: 34.536
Epoch  90 | Survival: 0.10 | Target: 0.10 | Reward A: 65.899
Epoch  91 | Survival: 0.10 | Target: 0.10 | Reward A: 24.562
Epoch  92 | Survival: 0.10 | Target: 0.10 | Reward A: 52.644
Epoch  93 | Survival: 0.60 | Target: 0.60 | Reward A: 10.891
Epoch  94 | Survival: 0.20 | Target: 0.20 | Reward A: 23.583
Epoch  95 | Survival: 0.30 | Target: 0.30 | Reward A: 37.324
Epoch  96 | Survival: 0.10 | Target: 0.10 | Reward A: 56.477
Epoch  97 | Survival: 0.40 | Target: 0.40 | Reward A: 26.962
Epoch  98 | Survival: 0.10 | Target: 0.10 | Reward A: 44.666
Epoch  99 | Survival: 0.30 | Target: 0.30 | Reward A: 15.540
Epoch 100 | Survival: 0.10 | Target: 0.10 | Reward A: 68.025
Epoch 101 | Survival: 0.10 | Target: 0.10 | Reward A: 44.781
Epoch 102 | Survival: 0.00 | Target: 0.00 | Reward A: 23.126
Epoch 103 | Survival: 0.00 | Target: 0.00 | Reward A: 66.121
Epoch 104 | Survival: 0.40 | Target: 0.40 | Reward A: 27.169
Epoch 105 | Survival: 0.10 | Target: 0.10 | Reward A: 74.446
Epoch 106 | Survival: 0.40 | Target: 0.40 | Reward A: 53.645
Epoch 107 | Survival: 0.40 | Target: 0.40 | Reward A: 24.950
Epoch 108 | Survival: 0.00 | Target: 0.00 | Reward A: 17.421
Epoch 109 | Survival: 0.00 | Target: 0.00 | Reward A: 19.484
Epoch 110 | Survival: 0.10 | Target: 0.10 | Reward A: 33.329
Epoch 111 | Survival: 0.30 | Target: 0.30 | Reward A: 47.697
Epoch 112 | Survival: 0.70 | Target: 0.70 | Reward A: 30.167
Epoch 113 | Survival: 0.40 | Target: 0.40 | Reward A: 57.271
Epoch 114 | Survival: 0.00 | Target: 0.00 | Reward A: 23.366
Epoch 115 | Survival: 0.00 | Target: 0.00 | Reward A: 50.301
Epoch 116 | Survival: 0.10 | Target: 0.10 | Reward A: 36.304
Epoch 117 | Survival: 1.00 | Target: 1.00 | Reward A: 55.118
Epoch 118 | Survival: 0.20 | Target: 0.20 | Reward A: 54.456
Epoch 119 | Survival: 0.30 | Target: 0.30 | Reward A: 52.803
Epoch 120 | Survival: 0.00 | Target: 0.00 | Reward A: 41.974
Epoch 121 | Survival: 0.80 | Target: 0.80 | Reward A: 42.731
Epoch 122 | Survival: 0.70 | Target: 0.70 | Reward A: 29.799
Epoch 123 | Survival: 0.10 | Target: 0.10 | Reward A: 49.967
Epoch 124 | Survival: 0.10 | Target: 0.10 | Reward A: 49.788
Epoch 125 | Survival: 0.70 | Target: 0.70 | Reward A: 21.671
Epoch 126 | Survival: 0.90 | Target: 0.90 | Reward A: 27.235
Epoch 127 | Survival: 0.40 | Target: 0.40 | Reward A: 64.746
