# high_pressure seed=1 started 2026-02-25T00:16:54.282965
# cmd: C:\Users\btisl\miniconda3\python.exe -m simulation.engine --seed 1 --epochs 500 --episodes 10 --protocol 1 --declare-cost 1.0 --query-cost 3.0 --respond-cost 0.5 --output-dir D:\Claude_Code\project_7\dynamic-cross-origin-constraint\data\campaign\high_pressure\seed_01

Epoch   0 | Survival: 0.40 | Target: 0.40 | Reward A: 46.513 | H: 1.080
Epoch   1 | Survival: 0.00 | Target: 0.00 | Reward A: 57.008 | H: 1.072
Epoch   2 | Survival: 0.20 | Target: 0.20 | Reward A: 70.681 | H: 1.067
Epoch   3 | Survival: 0.00 | Target: 0.00 | Reward A: 53.422 | H: 1.052
Epoch   4 | Survival: 0.30 | Target: 0.30 | Reward A: 42.467 | H: 1.022
Epoch   5 | Survival: 0.20 | Target: 0.20 | Reward A: 59.280 | H: 1.031
Epoch   6 | Survival: 0.20 | Target: 0.20 | Reward A: 37.209 | H: 1.018
Epoch   7 | Survival: 0.50 | Target: 0.50 | Reward A: 30.681 | H: 0.999
Epoch   8 | Survival: 0.20 | Target: 0.20 | Reward A: 53.892 | H: 1.004
Epoch   9 | Survival: 0.70 | Target: 0.70 | Reward A: 35.649 | H: 0.996
Epoch  10 | Survival: 0.00 | Target: 0.00 | Reward A: 40.113 | H: 0.970
Epoch  11 | Survival: 0.00 | Target: 0.00 | Reward A: 66.649 | H: 0.992
Epoch  12 | Survival: 0.00 | Target: 0.00 | Reward A: 50.764 | H: 0.978
Epoch  13 | Survival: 0.00 | Target: 0.00 | Reward A: 54.465 | H: 1.012
Epoch  14 | Survival: 0.60 | Target: 0.60 | Reward A: 55.940 | H: 0.999
Epoch  15 | Survival: 0.30 | Target: 0.30 | Reward A: 52.917 | H: 0.978
Epoch  16 | Survival: 0.20 | Target: 0.20 | Reward A: 29.458 | H: 0.989
Epoch  17 | Survival: 0.00 | Target: 0.00 | Reward A: 28.423 | H: 0.978
Epoch  18 | Survival: 0.20 | Target: 0.20 | Reward A: 45.683 | H: 0.988
Epoch  19 | Survival: 0.10 | Target: 0.10 | Reward A: 74.103 | H: 0.959
Epoch  20 | Survival: 0.00 | Target: 0.00 | Reward A: 50.400 | H: 0.944
Epoch  21 | Survival: 0.00 | Target: 0.00 | Reward A: 80.202 | H: 0.931
Epoch  22 | Survival: 0.00 | Target: 0.00 | Reward A: 31.336 | H: 0.907
Epoch  23 | Survival: 0.00 | Target: 0.00 | Reward A: 79.902 | H: 0.898
Epoch  24 | Survival: 0.50 | Target: 0.50 | Reward A: 59.137 | H: 0.894
Epoch  25 | Survival: 0.40 | Target: 0.40 | Reward A: 53.140 | H: 0.919
Epoch  26 | Survival: 0.00 | Target: 0.00 | Reward A: 50.698 | H: 0.881
Epoch  27 | Survival: 1.00 | Target: 1.00 | Reward A: 5.609 | H: 0.872
Epoch  28 | Survival: 0.00 | Target: 0.00 | Reward A: 25.356 | H: 0.897
Epoch  29 | Survival: 0.10 | Target: 0.10 | Reward A: 64.631 | H: 0.897
Epoch  30 | Survival: 0.00 | Target: 0.00 | Reward A: 33.290 | H: 0.888
Epoch  31 | Survival: 0.10 | Target: 0.10 | Reward A: 63.724 | H: 0.899
Epoch  32 | Survival: 0.00 | Target: 0.00 | Reward A: 74.050 | H: 0.911
Epoch  33 | Survival: 0.50 | Target: 0.50 | Reward A: 59.795 | H: 0.945
Epoch  34 | Survival: 0.00 | Target: 0.00 | Reward A: 55.578 | H: 0.924
Epoch  35 | Survival: 0.20 | Target: 0.20 | Reward A: 70.076 | H: 0.896
Epoch  36 | Survival: 0.00 | Target: 0.00 | Reward A: 45.624 | H: 0.912
Epoch  37 | Survival: 0.50 | Target: 0.50 | Reward A: 69.450 | H: 0.918
Epoch  38 | Survival: 0.40 | Target: 0.40 | Reward A: 43.738 | H: 0.914
Epoch  39 | Survival: 0.00 | Target: 0.00 | Reward A: 79.440 | H: 0.897
Epoch  40 | Survival: 0.60 | Target: 0.60 | Reward A: 48.660 | H: 0.892
Epoch  41 | Survival: 0.70 | Target: 0.70 | Reward A: 50.642 | H: 0.897
Epoch  42 | Survival: 0.10 | Target: 0.10 | Reward A: 82.186 | H: 0.860
Epoch  43 | Survival: 0.50 | Target: 0.50 | Reward A: 54.613 | H: 0.871
