# control seed=1 started 2026-02-25T17:56:58.548295
# cmd: C:\Users\btisl\miniconda3\python.exe -m simulation.engine --seed 1 --epochs 500 --episodes 10 --protocol 0 --declare-cost 1.0 --query-cost 1.5 --respond-cost 0.8 --output-dir D:\Claude_Code\project_7\dynamic-cross-origin-constraint\data\campaign\control\seed_01

Epoch   0 | Survival: 0.30 | Target: 0.30 | Reward A: 55.071
Epoch   1 | Survival: 0.20 | Target: 0.20 | Reward A: 58.053
Epoch   2 | Survival: 0.30 | Target: 0.30 | Reward A: 69.239
Epoch   3 | Survival: 0.00 | Target: 0.00 | Reward A: 55.288
Epoch   4 | Survival: 0.40 | Target: 0.40 | Reward A: 43.158
Epoch   5 | Survival: 0.00 | Target: 0.00 | Reward A: 61.693
Epoch   6 | Survival: 0.60 | Target: 0.60 | Reward A: 19.347
Epoch   7 | Survival: 0.40 | Target: 0.40 | Reward A: 31.854
Epoch   8 | Survival: 0.00 | Target: 0.00 | Reward A: 55.295
Epoch   9 | Survival: 0.40 | Target: 0.40 | Reward A: 46.149
Epoch  10 | Survival: 0.00 | Target: 0.00 | Reward A: 38.186
Epoch  11 | Survival: 0.00 | Target: 0.00 | Reward A: 71.164
Epoch  12 | Survival: 0.40 | Target: 0.40 | Reward A: 40.742
Epoch  13 | Survival: 0.00 | Target: 0.00 | Reward A: 50.558
Epoch  14 | Survival: 0.50 | Target: 0.50 | Reward A: 48.323
Epoch  15 | Survival: 0.50 | Target: 0.50 | Reward A: 56.833
Epoch  16 | Survival: 0.20 | Target: 0.20 | Reward A: 27.669
Epoch  17 | Survival: 0.00 | Target: 0.00 | Reward A: 24.436
Epoch  18 | Survival: 0.00 | Target: 0.00 | Reward A: 58.067
Epoch  19 | Survival: 0.00 | Target: 0.00 | Reward A: 63.049
Epoch  20 | Survival: 0.00 | Target: 0.00 | Reward A: 45.380
Epoch  21 | Survival: 0.00 | Target: 0.00 | Reward A: 80.567
Epoch  22 | Survival: 0.00 | Target: 0.00 | Reward A: 42.661
Epoch  23 | Survival: 0.10 | Target: 0.10 | Reward A: 63.664
Epoch  24 | Survival: 0.10 | Target: 0.10 | Reward A: 62.491
Epoch  25 | Survival: 0.10 | Target: 0.10 | Reward A: 58.387
Epoch  26 | Survival: 0.00 | Target: 0.00 | Reward A: 58.702
Epoch  27 | Survival: 1.00 | Target: 1.00 | Reward A: 4.631
Epoch  28 | Survival: 0.00 | Target: 0.00 | Reward A: 24.193
Epoch  29 | Survival: 0.10 | Target: 0.10 | Reward A: 63.438
Epoch  30 | Survival: 0.00 | Target: 0.00 | Reward A: 44.987
Epoch  31 | Survival: 0.00 | Target: 0.00 | Reward A: 75.131
Epoch  32 | Survival: 0.10 | Target: 0.10 | Reward A: 72.774
Epoch  33 | Survival: 0.00 | Target: 0.00 | Reward A: 62.108
Epoch  34 | Survival: 0.00 | Target: 0.00 | Reward A: 50.708
Epoch  35 | Survival: 0.00 | Target: 0.00 | Reward A: 68.267
Epoch  36 | Survival: 0.00 | Target: 0.00 | Reward A: 45.995
Epoch  37 | Survival: 0.20 | Target: 0.20 | Reward A: 69.734
Epoch  38 | Survival: 0.60 | Target: 0.60 | Reward A: 36.273
Epoch  39 | Survival: 0.50 | Target: 0.50 | Reward A: 59.702
Epoch  40 | Survival: 0.70 | Target: 0.70 | Reward A: 31.530
Epoch  41 | Survival: 0.00 | Target: 0.00 | Reward A: 65.691
Epoch  42 | Survival: 0.30 | Target: 0.30 | Reward A: 71.915
Epoch  43 | Survival: 0.70 | Target: 0.70 | Reward A: 42.933
Epoch  44 | Survival: 0.10 | Target: 0.10 | Reward A: 75.752
Epoch  45 | Survival: 0.40 | Target: 0.40 | Reward A: 63.634
Epoch  46 | Survival: 0.30 | Target: 0.30 | Reward A: 69.521
Epoch  47 | Survival: 0.30 | Target: 0.30 | Reward A: 38.593
Epoch  48 | Survival: 0.20 | Target: 0.20 | Reward A: 63.822
Epoch  49 | Survival: 0.00 | Target: 0.00 | Reward A: 48.418
Epoch  50 | Survival: 0.60 | Target: 0.60 | Reward A: 66.272
Epoch  51 | Survival: 0.30 | Target: 0.30 | Reward A: 54.762
Epoch  52 | Survival: 0.00 | Target: 0.00 | Reward A: 53.186
Epoch  53 | Survival: 0.70 | Target: 0.70 | Reward A: 43.516
Epoch  54 | Survival: 0.00 | Target: 0.00 | Reward A: 48.925
Epoch  55 | Survival: 0.60 | Target: 0.60 | Reward A: 28.320
