# control seed=9 started 2026-02-25T19:22:55.987193
# cmd: C:\Users\btisl\miniconda3\python.exe -m simulation.engine --seed 9 --epochs 500 --episodes 10 --protocol 0 --declare-cost 1.0 --query-cost 1.5 --respond-cost 0.8 --output-dir D:\Claude_Code\project_7\dynamic-cross-origin-constraint\data\campaign\control\seed_09

Epoch   0 | Survival: 0.10 | Target: 0.10 | Reward A: 36.343
Epoch   1 | Survival: 0.20 | Target: 0.20 | Reward A: 61.415
Epoch   2 | Survival: 0.30 | Target: 0.30 | Reward A: 55.935
Epoch   3 | Survival: 0.10 | Target: 0.10 | Reward A: 63.552
Epoch   4 | Survival: 0.10 | Target: 0.10 | Reward A: 67.186
Epoch   5 | Survival: 0.00 | Target: 0.00 | Reward A: 65.185
Epoch   6 | Survival: 0.60 | Target: 0.60 | Reward A: 44.522
Epoch   7 | Survival: 0.00 | Target: 0.00 | Reward A: 77.001
Epoch   8 | Survival: 0.40 | Target: 0.40 | Reward A: 40.982
Epoch   9 | Survival: 0.10 | Target: 0.10 | Reward A: 38.908
Epoch  10 | Survival: 0.30 | Target: 0.30 | Reward A: 47.819
Epoch  11 | Survival: 0.30 | Target: 0.30 | Reward A: 59.215
Epoch  12 | Survival: 0.10 | Target: 0.10 | Reward A: 58.628
Epoch  13 | Survival: 0.00 | Target: 0.00 | Reward A: 72.906
Epoch  14 | Survival: 0.10 | Target: 0.10 | Reward A: 49.829
Epoch  15 | Survival: 0.10 | Target: 0.10 | Reward A: 40.339
Epoch  16 | Survival: 0.00 | Target: 0.00 | Reward A: 63.055
Epoch  17 | Survival: 0.20 | Target: 0.20 | Reward A: 65.315
Epoch  18 | Survival: 0.00 | Target: 0.00 | Reward A: 66.801
Epoch  19 | Survival: 0.70 | Target: 0.70 | Reward A: 14.230
Epoch  20 | Survival: 0.00 | Target: 0.00 | Reward A: 45.123
Epoch  21 | Survival: 0.00 | Target: 0.00 | Reward A: 39.715
Epoch  22 | Survival: 0.10 | Target: 0.10 | Reward A: 70.583
Epoch  23 | Survival: 0.00 | Target: 0.00 | Reward A: 68.205
Epoch  24 | Survival: 0.00 | Target: 0.00 | Reward A: 42.353
Epoch  25 | Survival: 0.10 | Target: 0.10 | Reward A: 36.544
Epoch  26 | Survival: 0.10 | Target: 0.10 | Reward A: 67.039
Epoch  27 | Survival: 0.00 | Target: 0.00 | Reward A: 34.002
Epoch  28 | Survival: 0.10 | Target: 0.10 | Reward A: 56.820
Epoch  29 | Survival: 0.00 | Target: 0.00 | Reward A: 38.643
Epoch  30 | Survival: 0.50 | Target: 0.50 | Reward A: 43.740
Epoch  31 | Survival: 0.30 | Target: 0.30 | Reward A: 47.301
Epoch  32 | Survival: 0.40 | Target: 0.40 | Reward A: 27.563
Epoch  33 | Survival: 0.20 | Target: 0.20 | Reward A: 51.072
Epoch  34 | Survival: 0.00 | Target: 0.00 | Reward A: 56.295
Epoch  35 | Survival: 0.40 | Target: 0.40 | Reward A: 49.268
Epoch  36 | Survival: 0.00 | Target: 0.00 | Reward A: 54.640
Epoch  37 | Survival: 0.10 | Target: 0.10 | Reward A: 48.090
Epoch  38 | Survival: 0.10 | Target: 0.10 | Reward A: 55.271
Epoch  39 | Survival: 0.10 | Target: 0.10 | Reward A: 42.949
Epoch  40 | Survival: 0.10 | Target: 0.10 | Reward A: 64.898
Epoch  41 | Survival: 0.00 | Target: 0.00 | Reward A: 28.008
Epoch  42 | Survival: 0.00 | Target: 0.00 | Reward A: 43.940
Epoch  43 | Survival: 0.00 | Target: 0.00 | Reward A: 70.687
Epoch  44 | Survival: 0.00 | Target: 0.00 | Reward A: 67.551
Epoch  45 | Survival: 0.10 | Target: 0.10 | Reward A: 57.931
Epoch  46 | Survival: 0.00 | Target: 0.00 | Reward A: 50.798
Epoch  47 | Survival: 0.40 | Target: 0.40 | Reward A: 61.220
Epoch  48 | Survival: 0.30 | Target: 0.30 | Reward A: 53.258
Epoch  49 | Survival: 0.60 | Target: 0.60 | Reward A: 47.083
Epoch  50 | Survival: 0.00 | Target: 0.00 | Reward A: 43.495
Epoch  51 | Survival: 0.00 | Target: 0.00 | Reward A: 55.581
Epoch  52 | Survival: 0.60 | Target: 0.60 | Reward A: 47.802
Epoch  53 | Survival: 0.10 | Target: 0.10 | Reward A: 67.083
Epoch  54 | Survival: 0.20 | Target: 0.20 | Reward A: 69.910
Epoch  55 | Survival: 0.20 | Target: 0.20 | Reward A: 62.657
Epoch  56 | Survival: 0.10 | Target: 0.10 | Reward A: 66.072
Epoch  57 | Survival: 0.00 | Target: 0.00 | Reward A: 51.092
Epoch  58 | Survival: 0.30 | Target: 0.30 | Reward A: 61.711
Epoch  59 | Survival: 0.30 | Target: 0.30 | Reward A: 69.118
Epoch  60 | Survival: 0.40 | Target: 0.40 | Reward A: 54.483
Epoch  61 | Survival: 0.10 | Target: 0.10 | Reward A: 68.275
Epoch  62 | Survival: 0.20 | Target: 0.20 | Reward A: 66.110
Epoch  63 | Survival: 0.20 | Target: 0.20 | Reward A: 54.112
Epoch  64 | Survival: 0.10 | Target: 0.10 | Reward A: 66.853
Epoch  65 | Survival: 0.20 | Target: 0.20 | Reward A: 54.535
Epoch  66 | Survival: 0.30 | Target: 0.30 | Reward A: 50.597
Epoch  67 | Survival: 0.00 | Target: 0.00 | Reward A: 24.251
Epoch  68 | Survival: 0.60 | Target: 0.60 | Reward A: 54.693
Epoch  69 | Survival: 0.20 | Target: 0.20 | Reward A: 42.898
Epoch  70 | Survival: 0.00 | Target: 0.00 | Reward A: 61.886
Epoch  71 | Survival: 0.90 | Target: 0.90 | Reward A: 16.634
Epoch  72 | Survival: 0.50 | Target: 0.50 | Reward A: 23.924
Epoch  73 | Survival: 0.00 | Target: 0.00 | Reward A: 23.263
Epoch  74 | Survival: 0.30 | Target: 0.30 | Reward A: 70.782
Epoch  75 | Survival: 0.30 | Target: 0.30 | Reward A: 64.921
Epoch  76 | Survival: 0.00 | Target: 0.00 | Reward A: 53.095
Epoch  77 | Survival: 0.00 | Target: 0.00 | Reward A: 30.444
Epoch  78 | Survival: 0.00 | Target: 0.00 | Reward A: 53.419
Epoch  79 | Survival: 0.70 | Target: 0.70 | Reward A: 20.961
Epoch  80 | Survival: 0.00 | Target: 0.00 | Reward A: 77.266
Epoch  81 | Survival: 0.30 | Target: 0.30 | Reward A: 42.992
Epoch  82 | Survival: 0.30 | Target: 0.30 | Reward A: 76.799
Epoch  83 | Survival: 0.20 | Target: 0.20 | Reward A: 35.013
Epoch  84 | Survival: 0.00 | Target: 0.00 | Reward A: 47.608
Epoch  85 | Survival: 0.10 | Target: 0.10 | Reward A: 52.894
Epoch  86 | Survival: 0.00 | Target: 0.00 | Reward A: 44.150
Epoch  87 | Survival: 0.40 | Target: 0.40 | Reward A: 49.562
Epoch  88 | Survival: 0.50 | Target: 0.50 | Reward A: 41.749
Epoch  89 | Survival: 0.10 | Target: 0.10 | Reward A: 51.006
Epoch  90 | Survival: 0.00 | Target: 0.00 | Reward A: 28.683
Epoch  91 | Survival: 0.20 | Target: 0.20 | Reward A: 44.843
Epoch  92 | Survival: 0.20 | Target: 0.20 | Reward A: 71.464
Epoch  93 | Survival: 0.00 | Target: 0.00 | Reward A: 12.272
Epoch  94 | Survival: 0.10 | Target: 0.10 | Reward A: 61.291
Epoch  95 | Survival: 0.40 | Target: 0.40 | Reward A: 17.551
Epoch  96 | Survival: 0.20 | Target: 0.20 | Reward A: 28.360
Epoch  97 | Survival: 0.50 | Target: 0.50 | Reward A: 36.855
Epoch  98 | Survival: 0.00 | Target: 0.00 | Reward A: 63.873
Epoch  99 | Survival: 0.90 | Target: 0.90 | Reward A: 10.204
Epoch 100 | Survival: 0.10 | Target: 0.10 | Reward A: 45.992
Epoch 101 | Survival: 0.00 | Target: 0.00 | Reward A: 29.327
Epoch 102 | Survival: 0.10 | Target: 0.10 | Reward A: 71.818
Epoch 103 | Survival: 0.00 | Target: 0.00 | Reward A: 50.377
Epoch 104 | Survival: 0.00 | Target: 0.00 | Reward A: 32.056
Epoch 105 | Survival: 0.30 | Target: 0.30 | Reward A: 51.520
Epoch 106 | Survival: 0.00 | Target: 0.00 | Reward A: 28.805
Epoch 107 | Survival: 0.30 | Target: 0.30 | Reward A: 76.524
Epoch 108 | Survival: 0.50 | Target: 0.50 | Reward A: 58.124
Epoch 109 | Survival: 0.00 | Target: 0.00 | Reward A: 29.432
Epoch 110 | Survival: 0.10 | Target: 0.10 | Reward A: 31.234
Epoch 111 | Survival: 0.10 | Target: 0.10 | Reward A: 21.782
Epoch 112 | Survival: 0.00 | Target: 0.00 | Reward A: 46.033
Epoch 113 | Survival: 0.50 | Target: 0.50 | Reward A: 44.399
Epoch 114 | Survival: 0.30 | Target: 0.30 | Reward A: 64.260
Epoch 115 | Survival: 0.10 | Target: 0.10 | Reward A: 73.570
Epoch 116 | Survival: 0.00 | Target: 0.00 | Reward A: 40.896
Epoch 117 | Survival: 0.00 | Target: 0.00 | Reward A: 53.618
