# high_pressure seed=8 started 2026-02-25T01:24:53.973718
# cmd: C:\Users\btisl\miniconda3\python.exe -m simulation.engine --seed 8 --epochs 500 --episodes 10 --protocol 1 --declare-cost 1.0 --query-cost 3.0 --respond-cost 0.5 --output-dir D:\Claude_Code\project_7\dynamic-cross-origin-constraint\data\campaign\high_pressure\seed_08

Epoch   0 | Survival: 0.00 | Target: 0.00 | Reward A: 44.083 | H: 1.089
Epoch   1 | Survival: 0.00 | Target: 0.00 | Reward A: 43.300 | H: 1.088
Epoch   2 | Survival: 0.70 | Target: 0.70 | Reward A: 34.508 | H: 1.084
Epoch   3 | Survival: 0.00 | Target: 0.00 | Reward A: 50.194 | H: 1.087
Epoch   4 | Survival: 0.40 | Target: 0.40 | Reward A: 58.345 | H: 1.085
Epoch   5 | Survival: 0.60 | Target: 0.60 | Reward A: 46.961 | H: 1.074
Epoch   6 | Survival: 0.10 | Target: 0.10 | Reward A: 57.573 | H: 1.067
Epoch   7 | Survival: 0.30 | Target: 0.30 | Reward A: 55.588 | H: 1.054
Epoch   8 | Survival: 0.10 | Target: 0.10 | Reward A: 68.193 | H: 1.008
Epoch   9 | Survival: 0.40 | Target: 0.40 | Reward A: 35.258 | H: 1.009
Epoch  10 | Survival: 0.40 | Target: 0.40 | Reward A: 39.355 | H: 0.991
Epoch  11 | Survival: 0.00 | Target: 0.00 | Reward A: 36.354 | H: 0.951
Epoch  12 | Survival: 0.30 | Target: 0.30 | Reward A: 66.002 | H: 0.940
Epoch  13 | Survival: 0.20 | Target: 0.20 | Reward A: 59.274 | H: 0.926
Epoch  14 | Survival: 0.00 | Target: 0.00 | Reward A: 71.864 | H: 0.867
Epoch  15 | Survival: 0.30 | Target: 0.30 | Reward A: 34.094 | H: 0.898
Epoch  16 | Survival: 0.00 | Target: 0.00 | Reward A: 34.991 | H: 0.853
Epoch  17 | Survival: 0.00 | Target: 0.00 | Reward A: 71.532 | H: 0.884
Epoch  18 | Survival: 0.00 | Target: 0.00 | Reward A: 51.876 | H: 0.860
Epoch  19 | Survival: 0.00 | Target: 0.00 | Reward A: 59.757 | H: 0.836
Epoch  20 | Survival: 0.20 | Target: 0.20 | Reward A: 26.926 | H: 0.835
Epoch  21 | Survival: 0.00 | Target: 0.00 | Reward A: 48.317 | H: 0.822
Epoch  22 | Survival: 0.00 | Target: 0.00 | Reward A: 43.327 | H: 0.842
