# control seed=12 started 2026-02-25T19:45:28.683374
# cmd: C:\Users\btisl\miniconda3\python.exe -m simulation.engine --seed 12 --epochs 500 --episodes 10 --protocol 0 --declare-cost 1.0 --query-cost 1.5 --respond-cost 0.8 --output-dir D:\Claude_Code\project_7\dynamic-cross-origin-constraint\data\campaign\control\seed_12

Epoch   0 | Survival: 0.10 | Target: 0.10 | Reward A: 61.067
Epoch   1 | Survival: 0.80 | Target: 0.80 | Reward A: 48.840
Epoch   2 | Survival: 0.20 | Target: 0.20 | Reward A: 68.190
Epoch   3 | Survival: 0.30 | Target: 0.30 | Reward A: 52.332
Epoch   4 | Survival: 0.10 | Target: 0.10 | Reward A: 71.451
Epoch   5 | Survival: 0.70 | Target: 0.70 | Reward A: 46.915
Epoch   6 | Survival: 0.20 | Target: 0.20 | Reward A: 37.985
Epoch   7 | Survival: 0.20 | Target: 0.20 | Reward A: 50.303
Epoch   8 | Survival: 0.00 | Target: 0.00 | Reward A: 66.012
Epoch   9 | Survival: 0.00 | Target: 0.00 | Reward A: 50.384
Epoch  10 | Survival: 0.40 | Target: 0.40 | Reward A: 59.699
Epoch  11 | Survival: 0.00 | Target: 0.00 | Reward A: 57.181
Epoch  12 | Survival: 0.00 | Target: 0.00 | Reward A: 35.994
Epoch  13 | Survival: 0.00 | Target: 0.00 | Reward A: 52.306
Epoch  14 | Survival: 0.00 | Target: 0.00 | Reward A: 48.458
Epoch  15 | Survival: 0.90 | Target: 0.90 | Reward A: 47.678
Epoch  16 | Survival: 0.90 | Target: 0.90 | Reward A: 4.546
Epoch  17 | Survival: 0.00 | Target: 0.00 | Reward A: 52.352
Epoch  18 | Survival: 0.00 | Target: 0.00 | Reward A: 50.516
Epoch  19 | Survival: 0.00 | Target: 0.00 | Reward A: 55.948
Epoch  20 | Survival: 0.30 | Target: 0.30 | Reward A: 58.163
Epoch  21 | Survival: 0.00 | Target: 0.00 | Reward A: 47.665
Epoch  22 | Survival: 0.00 | Target: 0.00 | Reward A: 44.779
Epoch  23 | Survival: 0.00 | Target: 0.00 | Reward A: 50.595
