# control seed=0 started 2026-02-25T17:14:40.602634
# cmd: C:\Users\btisl\miniconda3\python.exe -m simulation.engine --seed 0 --epochs 500 --episodes 10 --protocol 0 --declare-cost 1.0 --query-cost 1.5 --respond-cost 0.8 --output-dir D:\Claude_Code\project_7\dynamic-cross-origin-constraint\data\campaign\control\seed_00

Epoch   0 | Survival: 0.20 | Target: 0.20 | Reward A: 60.816
Epoch   1 | Survival: 0.30 | Target: 0.30 | Reward A: 45.833
Epoch   2 | Survival: 0.20 | Target: 0.20 | Reward A: 60.445
Epoch   3 | Survival: 0.00 | Target: 0.00 | Reward A: 49.805
Epoch   4 | Survival: 0.00 | Target: 0.00 | Reward A: 59.468
Epoch   5 | Survival: 0.70 | Target: 0.70 | Reward A: 29.331
Epoch   6 | Survival: 0.00 | Target: 0.00 | Reward A: 64.779
Epoch   7 | Survival: 0.40 | Target: 0.40 | Reward A: 32.293
Epoch   8 | Survival: 0.30 | Target: 0.30 | Reward A: 37.150
Epoch   9 | Survival: 0.00 | Target: 0.00 | Reward A: 28.556
Epoch  10 | Survival: 0.60 | Target: 0.60 | Reward A: 26.330
Epoch  11 | Survival: 0.00 | Target: 0.00 | Reward A: 82.439
Epoch  12 | Survival: 0.20 | Target: 0.20 | Reward A: 57.061
Epoch  13 | Survival: 0.40 | Target: 0.40 | Reward A: 61.632
Epoch  14 | Survival: 0.00 | Target: 0.00 | Reward A: 70.661
Epoch  15 | Survival: 0.10 | Target: 0.10 | Reward A: 55.151
Epoch  16 | Survival: 0.30 | Target: 0.30 | Reward A: 59.287
Epoch  17 | Survival: 0.60 | Target: 0.60 | Reward A: 46.449
Epoch  18 | Survival: 0.30 | Target: 0.30 | Reward A: 66.464
Epoch  19 | Survival: 0.20 | Target: 0.20 | Reward A: 38.908
Epoch  20 | Survival: 0.40 | Target: 0.40 | Reward A: 44.382
Epoch  21 | Survival: 0.10 | Target: 0.10 | Reward A: 62.658
Epoch  22 | Survival: 0.00 | Target: 0.00 | Reward A: 62.471
Epoch  23 | Survival: 0.00 | Target: 0.00 | Reward A: 52.721
Epoch  24 | Survival: 0.00 | Target: 0.00 | Reward A: 24.255
Epoch  25 | Survival: 0.00 | Target: 0.00 | Reward A: 48.594
Epoch  26 | Survival: 0.10 | Target: 0.10 | Reward A: 51.342
Epoch  27 | Survival: 0.00 | Target: 0.00 | Reward A: 61.321
Epoch  28 | Survival: 1.00 | Target: 1.00 | Reward A: 7.185
