# extreme seed=0 started 2026-02-25T08:13:24.635069
# cmd: C:\Users\btisl\miniconda3\python.exe -m simulation.engine --seed 0 --epochs 500 --episodes 10 --protocol 1 --declare-cost 1.0 --query-cost 5.0 --respond-cost 0.3 --output-dir D:\Claude_Code\project_7\dynamic-cross-origin-constraint\data\campaign\extreme\seed_00

Epoch   0 | Survival: 0.70 | Target: 0.70 | Reward A: 40.729 | H: 1.082
Epoch   1 | Survival: 0.20 | Target: 0.20 | Reward A: 41.199 | H: 1.076
Epoch   2 | Survival: 0.10 | Target: 0.10 | Reward A: 56.963 | H: 1.072
Epoch   3 | Survival: 0.00 | Target: 0.00 | Reward A: 49.103 | H: 1.073
Epoch   4 | Survival: 0.00 | Target: 0.00 | Reward A: 71.917 | H: 1.055
Epoch   5 | Survival: 0.40 | Target: 0.40 | Reward A: 29.705 | H: 1.061
Epoch   6 | Survival: 0.00 | Target: 0.00 | Reward A: 63.102 | H: 1.046
Epoch   7 | Survival: 0.40 | Target: 0.40 | Reward A: 38.785 | H: 1.061
Epoch   8 | Survival: 0.20 | Target: 0.20 | Reward A: 24.632 | H: 1.044
Epoch   9 | Survival: 0.00 | Target: 0.00 | Reward A: 33.719 | H: 1.017
Epoch  10 | Survival: 0.70 | Target: 0.70 | Reward A: 28.759 | H: 0.999
Epoch  11 | Survival: 0.30 | Target: 0.30 | Reward A: 65.090 | H: 1.001
Epoch  12 | Survival: 0.00 | Target: 0.00 | Reward A: 64.627 | H: 1.013
Epoch  13 | Survival: 0.60 | Target: 0.60 | Reward A: 41.988 | H: 1.006
Epoch  14 | Survival: 0.10 | Target: 0.10 | Reward A: 61.826 | H: 1.022
Epoch  15 | Survival: 0.10 | Target: 0.10 | Reward A: 56.905 | H: 1.012
Epoch  16 | Survival: 0.70 | Target: 0.70 | Reward A: 42.363 | H: 1.010
Epoch  17 | Survival: 0.30 | Target: 0.30 | Reward A: 50.677 | H: 1.025
Epoch  18 | Survival: 0.00 | Target: 0.00 | Reward A: 30.287 | H: 1.006
Epoch  19 | Survival: 0.10 | Target: 0.10 | Reward A: 58.662 | H: 1.000
Epoch  20 | Survival: 0.00 | Target: 0.00 | Reward A: 43.610 | H: 0.979
Epoch  21 | Survival: 0.00 | Target: 0.00 | Reward A: 47.617 | H: 0.989
Epoch  22 | Survival: 0.00 | Target: 0.00 | Reward A: 51.505 | H: 0.984
Epoch  23 | Survival: 0.10 | Target: 0.10 | Reward A: 57.860 | H: 0.985
Epoch  24 | Survival: 0.00 | Target: 0.00 | Reward A: 37.504 | H: 0.967
Epoch  25 | Survival: 0.00 | Target: 0.00 | Reward A: 44.996 | H: 0.982
Epoch  26 | Survival: 0.00 | Target: 0.00 | Reward A: 52.236 | H: 1.013
Epoch  27 | Survival: 0.40 | Target: 0.40 | Reward A: 60.792 | H: 0.958
Epoch  28 | Survival: 0.70 | Target: 0.70 | Reward A: 11.296 | H: 0.954
Epoch  29 | Survival: 0.00 | Target: 0.00 | Reward A: 58.117 | H: 0.936
Epoch  30 | Survival: 0.00 | Target: 0.00 | Reward A: 38.176 | H: 0.976
Epoch  31 | Survival: 0.00 | Target: 0.00 | Reward A: 60.584 | H: 0.977
