# baseline seed=5 started 2026-02-24T07:05:44.825191
# cmd: C:\Users\btisl\miniconda3\python.exe -m simulation.engine --seed 5 --epochs 500 --episodes 10 --protocol 1 --declare-cost 1.0 --query-cost 1.5 --respond-cost 0.8 --output-dir D:\Claude_Code\project_7\dynamic-cross-origin-constraint\data\campaign\baseline\seed_05

Epoch   0 | Survival: 0.40 | Target: 0.40 | Reward A: 33.062 | H: 1.083
Epoch   1 | Survival: 0.10 | Target: 0.10 | Reward A: 66.057 | H: 1.089
Epoch   2 | Survival: 0.60 | Target: 0.60 | Reward A: 26.414 | H: 1.079
Epoch   3 | Survival: 0.10 | Target: 0.10 | Reward A: 30.351 | H: 1.087
Epoch   4 | Survival: 0.10 | Target: 0.10 | Reward A: 30.489 | H: 1.080
Epoch   5 | Survival: 0.50 | Target: 0.50 | Reward A: 36.747 | H: 1.086
Epoch   6 | Survival: 0.60 | Target: 0.60 | Reward A: 62.026 | H: 1.098
Epoch   7 | Survival: 0.10 | Target: 0.10 | Reward A: 63.817 | H: 1.082
Epoch   8 | Survival: 0.60 | Target: 0.60 | Reward A: 73.565 | H: 1.084
Epoch   9 | Survival: 0.40 | Target: 0.40 | Reward A: 69.144 | H: 1.072
Epoch  10 | Survival: 0.60 | Target: 0.60 | Reward A: 38.374 | H: 1.087
Epoch  11 | Survival: 0.50 | Target: 0.50 | Reward A: 55.261 | H: 1.090
Epoch  12 | Survival: 0.50 | Target: 0.50 | Reward A: 48.004 | H: 1.066
Epoch  13 | Survival: 0.00 | Target: 0.00 | Reward A: 37.334 | H: 1.060
Epoch  14 | Survival: 0.30 | Target: 0.30 | Reward A: 42.460 | H: 1.067
Epoch  15 | Survival: 0.00 | Target: 0.00 | Reward A: 44.140 | H: 1.056
Epoch  16 | Survival: 0.00 | Target: 0.00 | Reward A: 48.997 | H: 1.066
Epoch  17 | Survival: 0.00 | Target: 0.00 | Reward A: 51.261 | H: 1.061
Epoch  18 | Survival: 0.00 | Target: 0.00 | Reward A: 52.358 | H: 1.050
Epoch  19 | Survival: 0.30 | Target: 0.30 | Reward A: 25.847 | H: 1.034
Epoch  20 | Survival: 0.00 | Target: 0.00 | Reward A: 45.623 | H: 1.043
Epoch  21 | Survival: 0.00 | Target: 0.00 | Reward A: 49.659 | H: 1.055
Epoch  22 | Survival: 0.00 | Target: 0.00 | Reward A: 67.352 | H: 1.040
Epoch  23 | Survival: 0.70 | Target: 0.70 | Reward A: 12.943 | H: 1.010
Epoch  24 | Survival: 0.10 | Target: 0.10 | Reward A: 65.904 | H: 1.029
Epoch  25 | Survival: 0.00 | Target: 0.00 | Reward A: 30.036 | H: 1.027
Epoch  26 | Survival: 0.10 | Target: 0.10 | Reward A: 65.795 | H: 1.045
Epoch  27 | Survival: 0.00 | Target: 0.00 | Reward A: 60.131 | H: 1.035
Epoch  28 | Survival: 0.20 | Target: 0.20 | Reward A: 38.846 | H: 1.019
Epoch  29 | Survival: 0.10 | Target: 0.10 | Reward A: 28.518 | H: 1.020
Epoch  30 | Survival: 0.10 | Target: 0.10 | Reward A: 55.907 | H: 1.037
Epoch  31 | Survival: 0.20 | Target: 0.20 | Reward A: 23.450 | H: 1.025
Epoch  32 | Survival: 0.00 | Target: 0.00 | Reward A: 62.263 | H: 1.028
Epoch  33 | Survival: 0.00 | Target: 0.00 | Reward A: 32.846 | H: 1.011
Epoch  34 | Survival: 0.50 | Target: 0.50 | Reward A: 43.246 | H: 1.048
Epoch  35 | Survival: 0.30 | Target: 0.30 | Reward A: 40.078 | H: 1.030
Epoch  36 | Survival: 0.70 | Target: 0.70 | Reward A: 15.840 | H: 0.999
