# control seed=13 started 2026-02-25T19:59:53.954104
# cmd: C:\Users\btisl\miniconda3\python.exe -m simulation.engine --seed 13 --epochs 500 --episodes 10 --protocol 0 --declare-cost 1.0 --query-cost 1.5 --respond-cost 0.8 --output-dir D:\Claude_Code\project_7\dynamic-cross-origin-constraint\data\campaign\control\seed_13

Epoch   0 | Survival: 0.00 | Target: 0.00 | Reward A: 64.520
Epoch   1 | Survival: 0.20 | Target: 0.20 | Reward A: 66.460
Epoch   2 | Survival: 0.30 | Target: 0.30 | Reward A: 64.281
Epoch   3 | Survival: 0.20 | Target: 0.20 | Reward A: 72.030
Epoch   4 | Survival: 0.60 | Target: 0.60 | Reward A: 39.825
Epoch   5 | Survival: 0.30 | Target: 0.30 | Reward A: 37.344
Epoch   6 | Survival: 0.10 | Target: 0.10 | Reward A: 63.685
Epoch   7 | Survival: 0.20 | Target: 0.20 | Reward A: 45.682
Epoch   8 | Survival: 0.10 | Target: 0.10 | Reward A: 49.728
Epoch   9 | Survival: 0.10 | Target: 0.10 | Reward A: 64.210
Epoch  10 | Survival: 0.20 | Target: 0.20 | Reward A: 47.193
Epoch  11 | Survival: 0.00 | Target: 0.00 | Reward A: 36.698
Epoch  12 | Survival: 0.00 | Target: 0.00 | Reward A: 47.773
Epoch  13 | Survival: 0.10 | Target: 0.10 | Reward A: 51.486
Epoch  14 | Survival: 0.80 | Target: 0.80 | Reward A: 66.973
Epoch  15 | Survival: 0.50 | Target: 0.50 | Reward A: 19.363
Epoch  16 | Survival: 0.00 | Target: 0.00 | Reward A: 57.760
Epoch  17 | Survival: 0.00 | Target: 0.00 | Reward A: 36.462
Epoch  18 | Survival: 0.10 | Target: 0.10 | Reward A: 62.633
Epoch  19 | Survival: 0.00 | Target: 0.00 | Reward A: 68.670
Epoch  20 | Survival: 0.00 | Target: 0.00 | Reward A: 50.105
Epoch  21 | Survival: 0.00 | Target: 0.00 | Reward A: 33.135
Epoch  22 | Survival: 0.00 | Target: 0.00 | Reward A: 50.239
Epoch  23 | Survival: 0.00 | Target: 0.00 | Reward A: 45.926
Epoch  24 | Survival: 0.20 | Target: 0.20 | Reward A: 65.898
Epoch  25 | Survival: 0.00 | Target: 0.00 | Reward A: 39.735
Epoch  26 | Survival: 0.50 | Target: 0.50 | Reward A: 36.273
Epoch  27 | Survival: 0.10 | Target: 0.10 | Reward A: 59.493
Epoch  28 | Survival: 0.40 | Target: 0.40 | Reward A: 23.844
Epoch  29 | Survival: 0.60 | Target: 0.60 | Reward A: 38.432
Epoch  30 | Survival: 0.00 | Target: 0.00 | Reward A: 54.916
Epoch  31 | Survival: 0.70 | Target: 0.70 | Reward A: 30.765
Epoch  32 | Survival: 0.10 | Target: 0.10 | Reward A: 58.982
Epoch  33 | Survival: 0.40 | Target: 0.40 | Reward A: 38.285
Epoch  34 | Survival: 0.00 | Target: 0.00 | Reward A: 53.838
Epoch  35 | Survival: 0.90 | Target: 0.90 | Reward A: 11.469
Epoch  36 | Survival: 0.20 | Target: 0.20 | Reward A: 56.782
Epoch  37 | Survival: 0.00 | Target: 0.00 | Reward A: 50.177
Epoch  38 | Survival: 0.00 | Target: 0.00 | Reward A: 47.544
Epoch  39 | Survival: 0.10 | Target: 0.10 | Reward A: 71.027
Epoch  40 | Survival: 0.20 | Target: 0.20 | Reward A: 37.940
Epoch  41 | Survival: 0.20 | Target: 0.20 | Reward A: 73.611
Epoch  42 | Survival: 0.10 | Target: 0.10 | Reward A: 68.106
Epoch  43 | Survival: 0.50 | Target: 0.50 | Reward A: 27.606
Epoch  44 | Survival: 0.60 | Target: 0.60 | Reward A: 53.557
Epoch  45 | Survival: 0.00 | Target: 0.00 | Reward A: 54.107
Epoch  46 | Survival: 0.00 | Target: 0.00 | Reward A: 70.166
Epoch  47 | Survival: 0.60 | Target: 0.60 | Reward A: 67.972
Epoch  48 | Survival: 0.70 | Target: 0.70 | Reward A: 40.704
Epoch  49 | Survival: 0.00 | Target: 0.00 | Reward A: 57.524
Epoch  50 | Survival: 0.30 | Target: 0.30 | Reward A: 55.176
Epoch  51 | Survival: 0.00 | Target: 0.00 | Reward A: 61.533
Epoch  52 | Survival: 0.10 | Target: 0.10 | Reward A: 67.711
Epoch  53 | Survival: 0.00 | Target: 0.00 | Reward A: 41.406
Epoch  54 | Survival: 0.20 | Target: 0.20 | Reward A: 65.727
Epoch  55 | Survival: 0.00 | Target: 0.00 | Reward A: 72.870
Epoch  56 | Survival: 0.00 | Target: 0.00 | Reward A: 71.291
Epoch  57 | Survival: 0.00 | Target: 0.00 | Reward A: 57.167
Epoch  58 | Survival: 0.30 | Target: 0.30 | Reward A: 61.929
Epoch  59 | Survival: 0.10 | Target: 0.10 | Reward A: 51.223
Epoch  60 | Survival: 0.00 | Target: 0.00 | Reward A: 58.903
Epoch  61 | Survival: 0.40 | Target: 0.40 | Reward A: 59.284
Epoch  62 | Survival: 0.30 | Target: 0.30 | Reward A: 41.956
Epoch  63 | Survival: 0.00 | Target: 0.00 | Reward A: 31.459
Epoch  64 | Survival: 0.20 | Target: 0.20 | Reward A: 72.202
Epoch  65 | Survival: 0.00 | Target: 0.00 | Reward A: 53.027
Epoch  66 | Survival: 0.30 | Target: 0.30 | Reward A: 69.112
Epoch  67 | Survival: 0.40 | Target: 0.40 | Reward A: 49.377
Epoch  68 | Survival: 0.10 | Target: 0.10 | Reward A: 39.344
Epoch  69 | Survival: 0.00 | Target: 0.00 | Reward A: 44.737
Epoch  70 | Survival: 0.00 | Target: 0.00 | Reward A: 67.921
Epoch  71 | Survival: 0.20 | Target: 0.20 | Reward A: 58.190
Epoch  72 | Survival: 0.00 | Target: 0.00 | Reward A: 65.798
Epoch  73 | Survival: 0.20 | Target: 0.20 | Reward A: 30.088
Epoch  74 | Survival: 0.00 | Target: 0.00 | Reward A: 57.898
Epoch  75 | Survival: 0.40 | Target: 0.40 | Reward A: 40.739
Epoch  76 | Survival: 0.00 | Target: 0.00 | Reward A: 69.774
Epoch  77 | Survival: 0.00 | Target: 0.00 | Reward A: 31.731
Epoch  78 | Survival: 0.10 | Target: 0.10 | Reward A: 64.665
Epoch  79 | Survival: 0.20 | Target: 0.20 | Reward A: 51.370
Epoch  80 | Survival: 0.10 | Target: 0.10 | Reward A: 72.865
Epoch  81 | Survival: 0.00 | Target: 0.00 | Reward A: 50.516
Epoch  82 | Survival: 0.00 | Target: 0.00 | Reward A: 30.647
Epoch  83 | Survival: 0.20 | Target: 0.20 | Reward A: 68.785
Epoch  84 | Survival: 0.70 | Target: 0.70 | Reward A: 32.275
Epoch  85 | Survival: 0.50 | Target: 0.50 | Reward A: 68.267
Epoch  86 | Survival: 0.10 | Target: 0.10 | Reward A: 60.830
Epoch  87 | Survival: 0.10 | Target: 0.10 | Reward A: 55.056
Epoch  88 | Survival: 0.00 | Target: 0.00 | Reward A: 75.512
Epoch  89 | Survival: 0.00 | Target: 0.00 | Reward A: 19.441
Epoch  90 | Survival: 0.00 | Target: 0.00 | Reward A: 70.619
Epoch  91 | Survival: 0.50 | Target: 0.50 | Reward A: 30.824
Epoch  92 | Survival: 0.00 | Target: 0.00 | Reward A: 41.592
Epoch  93 | Survival: 0.50 | Target: 0.50 | Reward A: 33.381
Epoch  94 | Survival: 0.00 | Target: 0.00 | Reward A: 43.728
Epoch  95 | Survival: 0.70 | Target: 0.70 | Reward A: 12.939
Epoch  96 | Survival: 0.00 | Target: 0.00 | Reward A: 56.833
Epoch  97 | Survival: 0.10 | Target: 0.10 | Reward A: 65.896
Epoch  98 | Survival: 0.10 | Target: 0.10 | Reward A: 66.273
Epoch  99 | Survival: 0.00 | Target: 0.00 | Reward A: 60.733
Epoch 100 | Survival: 0.00 | Target: 0.00 | Reward A: 51.113
