# baseline seed=2 started 2026-02-24T07:05:44.813985
# cmd: C:\Users\btisl\miniconda3\python.exe -m simulation.engine --seed 2 --epochs 500 --episodes 10 --protocol 1 --declare-cost 1.0 --query-cost 1.5 --respond-cost 0.8 --output-dir D:\Claude_Code\project_7\dynamic-cross-origin-constraint\data\campaign\baseline\seed_02

Epoch   0 | Survival: 0.40 | Target: 0.40 | Reward A: 63.093 | H: 1.091
Epoch   1 | Survival: 0.00 | Target: 0.00 | Reward A: 55.425 | H: 1.088
Epoch   2 | Survival: 0.10 | Target: 0.10 | Reward A: 53.983 | H: 1.091
Epoch   3 | Survival: 0.70 | Target: 0.70 | Reward A: 35.315 | H: 1.085
Epoch   4 | Survival: 0.10 | Target: 0.10 | Reward A: 61.389 | H: 1.087
Epoch   5 | Survival: 0.20 | Target: 0.20 | Reward A: 31.178 | H: 1.083
Epoch   6 | Survival: 0.10 | Target: 0.10 | Reward A: 45.986 | H: 1.085
Epoch   7 | Survival: 0.00 | Target: 0.00 | Reward A: 55.989 | H: 1.089
Epoch   8 | Survival: 0.70 | Target: 0.70 | Reward A: 36.039 | H: 1.094
Epoch   9 | Survival: 0.10 | Target: 0.10 | Reward A: 38.148 | H: 1.091
Epoch  10 | Survival: 0.30 | Target: 0.30 | Reward A: 62.751 | H: 1.098
Epoch  11 | Survival: 0.10 | Target: 0.10 | Reward A: 47.259 | H: 1.095
Epoch  12 | Survival: 0.40 | Target: 0.40 | Reward A: 43.782 | H: 1.094
Epoch  13 | Survival: 0.40 | Target: 0.40 | Reward A: 55.343 | H: 1.097
Epoch  14 | Survival: 0.10 | Target: 0.10 | Reward A: 61.189 | H: 1.091
Epoch  15 | Survival: 0.30 | Target: 0.30 | Reward A: 30.929 | H: 1.097
Epoch  16 | Survival: 0.00 | Target: 0.00 | Reward A: 30.846 | H: 1.096
Epoch  17 | Survival: 0.50 | Target: 0.50 | Reward A: 32.988 | H: 1.097
Epoch  18 | Survival: 0.20 | Target: 0.20 | Reward A: 77.940 | H: 1.089
Epoch  19 | Survival: 0.10 | Target: 0.10 | Reward A: 65.205 | H: 1.088
Epoch  20 | Survival: 0.00 | Target: 0.00 | Reward A: 76.610 | H: 1.088
Epoch  21 | Survival: 0.90 | Target: 0.90 | Reward A: 16.153 | H: 1.078
Epoch  22 | Survival: 0.50 | Target: 0.50 | Reward A: 55.510 | H: 1.065
Epoch  23 | Survival: 0.10 | Target: 0.10 | Reward A: 73.674 | H: 1.047
Epoch  24 | Survival: 0.20 | Target: 0.20 | Reward A: 63.278 | H: 1.058
Epoch  25 | Survival: 0.40 | Target: 0.40 | Reward A: 51.430 | H: 1.050
Epoch  26 | Survival: 0.80 | Target: 0.80 | Reward A: 18.612 | H: 1.048
Epoch  27 | Survival: 0.30 | Target: 0.30 | Reward A: 29.811 | H: 1.018
Epoch  28 | Survival: 0.00 | Target: 0.00 | Reward A: 49.726 | H: 1.028
Epoch  29 | Survival: 0.10 | Target: 0.10 | Reward A: 65.105 | H: 1.033
Epoch  30 | Survival: 0.30 | Target: 0.30 | Reward A: 59.574 | H: 1.009
Epoch  31 | Survival: 0.00 | Target: 0.00 | Reward A: 63.546 | H: 1.033
Epoch  32 | Survival: 0.00 | Target: 0.00 | Reward A: 46.677 | H: 1.002
Epoch  33 | Survival: 0.10 | Target: 0.10 | Reward A: 71.201 | H: 1.012
Epoch  34 | Survival: 0.00 | Target: 0.00 | Reward A: 54.064 | H: 1.016
Epoch  35 | Survival: 0.00 | Target: 0.00 | Reward A: 44.797 | H: 1.017
Epoch  36 | Survival: 0.20 | Target: 0.20 | Reward A: 70.887 | H: 1.002
Epoch  37 | Survival: 0.30 | Target: 0.30 | Reward A: 52.813 | H: 1.023
Epoch  38 | Survival: 0.20 | Target: 0.20 | Reward A: 69.685 | H: 0.994
Epoch  39 | Survival: 0.50 | Target: 0.50 | Reward A: 36.226 | H: 1.021
Epoch  40 | Survival: 0.50 | Target: 0.50 | Reward A: 47.416 | H: 1.009
Epoch  41 | Survival: 0.20 | Target: 0.20 | Reward A: 69.831 | H: 1.005
Epoch  42 | Survival: 0.70 | Target: 0.70 | Reward A: 41.282 | H: 1.032
Epoch  43 | Survival: 0.20 | Target: 0.20 | Reward A: 53.922 | H: 0.998
Epoch  44 | Survival: 0.40 | Target: 0.40 | Reward A: 55.847 | H: 1.001
Epoch  45 | Survival: 0.30 | Target: 0.30 | Reward A: 67.940 | H: 0.973
Epoch  46 | Survival: 0.20 | Target: 0.20 | Reward A: 59.431 | H: 0.976
Epoch  47 | Survival: 0.10 | Target: 0.10 | Reward A: 68.148 | H: 0.985
Epoch  48 | Survival: 0.00 | Target: 0.00 | Reward A: 25.063 | H: 1.006
Epoch  49 | Survival: 0.00 | Target: 0.00 | Reward A: 69.359 | H: 0.975
Epoch  50 | Survival: 0.20 | Target: 0.20 | Reward A: 54.985 | H: 0.941
Epoch  51 | Survival: 0.00 | Target: 0.00 | Reward A: 71.064 | H: 0.974
Epoch  52 | Survival: 0.30 | Target: 0.30 | Reward A: 45.251 | H: 0.982
Epoch  53 | Survival: 0.00 | Target: 0.00 | Reward A: 48.438 | H: 0.966
Epoch  54 | Survival: 0.30 | Target: 0.30 | Reward A: 41.305 | H: 0.938
Epoch  55 | Survival: 0.40 | Target: 0.40 | Reward A: 47.429 | H: 0.959
Epoch  56 | Survival: 0.40 | Target: 0.40 | Reward A: 53.323 | H: 0.934
Epoch  57 | Survival: 0.00 | Target: 0.00 | Reward A: 37.531 | H: 0.928
Epoch  58 | Survival: 0.00 | Target: 0.00 | Reward A: 48.929 | H: 0.900
Epoch  59 | Survival: 0.40 | Target: 0.40 | Reward A: 73.368 | H: 0.892
Epoch  60 | Survival: 0.00 | Target: 0.00 | Reward A: 39.838 | H: 0.937
Epoch  61 | Survival: 0.20 | Target: 0.20 | Reward A: 57.048 | H: 0.912
Epoch  62 | Survival: 0.20 | Target: 0.20 | Reward A: 67.014 | H: 0.926
Epoch  63 | Survival: 0.00 | Target: 0.00 | Reward A: 50.163 | H: 0.942
Epoch  64 | Survival: 0.10 | Target: 0.10 | Reward A: 29.327 | H: 0.930
Epoch  65 | Survival: 0.10 | Target: 0.10 | Reward A: 70.151 | H: 0.890
Epoch  66 | Survival: 0.00 | Target: 0.00 | Reward A: 41.733 | H: 0.939
Epoch  67 | Survival: 0.40 | Target: 0.40 | Reward A: 54.948 | H: 0.929
Epoch  68 | Survival: 0.10 | Target: 0.10 | Reward A: 40.044 | H: 0.929
Epoch  69 | Survival: 0.30 | Target: 0.30 | Reward A: 61.383 | H: 0.961
Epoch  70 | Survival: 0.00 | Target: 0.00 | Reward A: 23.541 | H: 0.949
Epoch  71 | Survival: 0.00 | Target: 0.00 | Reward A: 37.049 | H: 0.949
Epoch  72 | Survival: 0.00 | Target: 0.00 | Reward A: 70.374 | H: 0.947
Epoch  73 | Survival: 0.10 | Target: 0.10 | Reward A: 39.380 | H: 0.989
Epoch  74 | Survival: 0.10 | Target: 0.10 | Reward A: 53.696 | H: 0.969
Epoch  75 | Survival: 0.00 | Target: 0.00 | Reward A: 63.179 | H: 0.978
Epoch  76 | Survival: 0.00 | Target: 0.00 | Reward A: 66.494 | H: 0.975
Epoch  77 | Survival: 0.20 | Target: 0.20 | Reward A: 71.986 | H: 0.989
Epoch  78 | Survival: 0.40 | Target: 0.40 | Reward A: 41.086 | H: 1.008
Epoch  79 | Survival: 0.10 | Target: 0.10 | Reward A: 60.487 | H: 0.963
Epoch  80 | Survival: 0.10 | Target: 0.10 | Reward A: 58.251 | H: 0.974
Epoch  81 | Survival: 0.10 | Target: 0.10 | Reward A: 55.489 | H: 0.953
Epoch  82 | Survival: 0.20 | Target: 0.20 | Reward A: 65.304 | H: 0.994
Epoch  83 | Survival: 0.30 | Target: 0.30 | Reward A: 69.038 | H: 0.981
Epoch  84 | Survival: 0.00 | Target: 0.00 | Reward A: 46.380 | H: 0.991
Epoch  85 | Survival: 0.10 | Target: 0.10 | Reward A: 60.365 | H: 0.995
Epoch  86 | Survival: 0.40 | Target: 0.40 | Reward A: 68.573 | H: 1.011
Epoch  87 | Survival: 0.00 | Target: 0.00 | Reward A: 66.292 | H: 0.971
Epoch  88 | Survival: 0.00 | Target: 0.00 | Reward A: 33.653 | H: 0.990
Epoch  89 | Survival: 0.40 | Target: 0.40 | Reward A: 47.360 | H: 1.001
Epoch  90 | Survival: 0.20 | Target: 0.20 | Reward A: 43.468 | H: 0.995
Epoch  91 | Survival: 0.10 | Target: 0.10 | Reward A: 75.354 | H: 0.986
Epoch  92 | Survival: 0.00 | Target: 0.00 | Reward A: 51.687 | H: 0.979
Epoch  93 | Survival: 0.00 | Target: 0.00 | Reward A: 40.868 | H: 0.973
Epoch  94 | Survival: 0.10 | Target: 0.10 | Reward A: 68.972 | H: 0.987
Epoch  95 | Survival: 0.60 | Target: 0.60 | Reward A: 40.778 | H: 1.003
Epoch  96 | Survival: 0.00 | Target: 0.00 | Reward A: 57.564 | H: 0.966
Epoch  97 | Survival: 0.00 | Target: 0.00 | Reward A: 62.085 | H: 0.983
Epoch  98 | Survival: 0.40 | Target: 0.40 | Reward A: 41.634 | H: 0.952
Epoch  99 | Survival: 0.30 | Target: 0.30 | Reward A: 62.391 | H: 0.990
Epoch 100 | Survival: 0.10 | Target: 0.10 | Reward A: 22.282 | H: 0.963
