# control seed=10 started 2026-02-25T19:26:43.005661
# cmd: C:\Users\btisl\miniconda3\python.exe -m simulation.engine --seed 10 --epochs 500 --episodes 10 --protocol 0 --declare-cost 1.0 --query-cost 1.5 --respond-cost 0.8 --output-dir D:\Claude_Code\project_7\dynamic-cross-origin-constraint\data\campaign\control\seed_10

Epoch   0 | Survival: 0.50 | Target: 0.50 | Reward A: 42.699
Epoch   1 | Survival: 0.40 | Target: 0.40 | Reward A: 71.194
Epoch   2 | Survival: 0.10 | Target: 0.10 | Reward A: 67.723
Epoch   3 | Survival: 0.50 | Target: 0.50 | Reward A: 44.752
Epoch   4 | Survival: 0.30 | Target: 0.30 | Reward A: 58.288
Epoch   5 | Survival: 0.50 | Target: 0.50 | Reward A: 37.574
Epoch   6 | Survival: 0.20 | Target: 0.20 | Reward A: 71.499
Epoch   7 | Survival: 0.40 | Target: 0.40 | Reward A: 51.259
Epoch   8 | Survival: 0.10 | Target: 0.10 | Reward A: 34.683
Epoch   9 | Survival: 0.10 | Target: 0.10 | Reward A: 61.282
Epoch  10 | Survival: 0.40 | Target: 0.40 | Reward A: 50.844
Epoch  11 | Survival: 0.10 | Target: 0.10 | Reward A: 53.863
Epoch  12 | Survival: 0.20 | Target: 0.20 | Reward A: 75.562
Epoch  13 | Survival: 0.00 | Target: 0.00 | Reward A: 59.572
Epoch  14 | Survival: 0.00 | Target: 0.00 | Reward A: 48.622
Epoch  15 | Survival: 0.00 | Target: 0.00 | Reward A: 60.647
Epoch  16 | Survival: 0.20 | Target: 0.20 | Reward A: 63.349
Epoch  17 | Survival: 0.10 | Target: 0.10 | Reward A: 59.248
Epoch  18 | Survival: 0.90 | Target: 0.90 | Reward A: 8.182
Epoch  19 | Survival: 0.00 | Target: 0.00 | Reward A: 28.041
Epoch  20 | Survival: 0.00 | Target: 0.00 | Reward A: 51.805
Epoch  21 | Survival: 0.00 | Target: 0.00 | Reward A: 48.896
Epoch  22 | Survival: 0.20 | Target: 0.20 | Reward A: 65.773
Epoch  23 | Survival: 0.00 | Target: 0.00 | Reward A: 59.219
Epoch  24 | Survival: 0.00 | Target: 0.00 | Reward A: 53.831
Epoch  25 | Survival: 0.00 | Target: 0.00 | Reward A: 66.132
Epoch  26 | Survival: 0.20 | Target: 0.20 | Reward A: 50.392
Epoch  27 | Survival: 0.00 | Target: 0.00 | Reward A: 43.399
Epoch  28 | Survival: 0.40 | Target: 0.40 | Reward A: 77.777
Epoch  29 | Survival: 0.50 | Target: 0.50 | Reward A: 52.230
Epoch  30 | Survival: 0.40 | Target: 0.40 | Reward A: 57.363
Epoch  31 | Survival: 0.30 | Target: 0.30 | Reward A: 37.313
Epoch  32 | Survival: 0.40 | Target: 0.40 | Reward A: 65.254
Epoch  33 | Survival: 0.90 | Target: 0.90 | Reward A: 17.164
Epoch  34 | Survival: 0.60 | Target: 0.60 | Reward A: 66.693
Epoch  35 | Survival: 0.00 | Target: 0.00 | Reward A: 60.251
Epoch  36 | Survival: 0.20 | Target: 0.20 | Reward A: 64.589
Epoch  37 | Survival: 0.00 | Target: 0.00 | Reward A: 63.248
Epoch  38 | Survival: 0.00 | Target: 0.00 | Reward A: 58.300
Epoch  39 | Survival: 0.20 | Target: 0.20 | Reward A: 72.506
Epoch  40 | Survival: 0.20 | Target: 0.20 | Reward A: 39.942
Epoch  41 | Survival: 0.00 | Target: 0.00 | Reward A: 61.966
Epoch  42 | Survival: 0.30 | Target: 0.30 | Reward A: 61.993
Epoch  43 | Survival: 0.00 | Target: 0.00 | Reward A: 64.598
Epoch  44 | Survival: 0.50 | Target: 0.50 | Reward A: 45.696
Epoch  45 | Survival: 0.00 | Target: 0.00 | Reward A: 52.022
Epoch  46 | Survival: 0.20 | Target: 0.20 | Reward A: 43.652
Epoch  47 | Survival: 0.60 | Target: 0.60 | Reward A: 37.180
Epoch  48 | Survival: 1.00 | Target: 1.00 | Reward A: 26.385
Epoch  49 | Survival: 0.00 | Target: 0.00 | Reward A: 40.277
Epoch  50 | Survival: 0.00 | Target: 0.00 | Reward A: 53.196
Epoch  51 | Survival: 0.50 | Target: 0.50 | Reward A: 46.596
Epoch  52 | Survival: 0.00 | Target: 0.00 | Reward A: 44.693
Epoch  53 | Survival: 0.30 | Target: 0.30 | Reward A: 58.547
Epoch  54 | Survival: 0.30 | Target: 0.30 | Reward A: 68.347
Epoch  55 | Survival: 0.10 | Target: 0.10 | Reward A: 59.887
Epoch  56 | Survival: 0.00 | Target: 0.00 | Reward A: 28.926
Epoch  57 | Survival: 0.40 | Target: 0.40 | Reward A: 69.085
Epoch  58 | Survival: 0.10 | Target: 0.10 | Reward A: 44.796
Epoch  59 | Survival: 0.40 | Target: 0.40 | Reward A: 59.914
Epoch  60 | Survival: 0.00 | Target: 0.00 | Reward A: 41.291
Epoch  61 | Survival: 0.30 | Target: 0.30 | Reward A: 66.858
Epoch  62 | Survival: 0.00 | Target: 0.00 | Reward A: 23.091
Epoch  63 | Survival: 0.00 | Target: 0.00 | Reward A: 48.571
Epoch  64 | Survival: 0.10 | Target: 0.10 | Reward A: 70.252
Epoch  65 | Survival: 0.00 | Target: 0.00 | Reward A: 36.776
Epoch  66 | Survival: 0.50 | Target: 0.50 | Reward A: 34.976
Epoch  67 | Survival: 0.10 | Target: 0.10 | Reward A: 70.694
Epoch  68 | Survival: 0.00 | Target: 0.00 | Reward A: 48.990
Epoch  69 | Survival: 0.20 | Target: 0.20 | Reward A: 63.567
Epoch  70 | Survival: 0.70 | Target: 0.70 | Reward A: 34.237
Epoch  71 | Survival: 0.00 | Target: 0.00 | Reward A: 44.760
Epoch  72 | Survival: 0.00 | Target: 0.00 | Reward A: 45.681
Epoch  73 | Survival: 0.20 | Target: 0.20 | Reward A: 68.612
Epoch  74 | Survival: 0.80 | Target: 0.80 | Reward A: 33.988
Epoch  75 | Survival: 0.00 | Target: 0.00 | Reward A: 65.551
Epoch  76 | Survival: 0.20 | Target: 0.20 | Reward A: 23.590
Epoch  77 | Survival: 0.30 | Target: 0.30 | Reward A: 43.539
Epoch  78 | Survival: 0.30 | Target: 0.30 | Reward A: 19.684
Epoch  79 | Survival: 0.70 | Target: 0.70 | Reward A: 69.034
Epoch  80 | Survival: 0.20 | Target: 0.20 | Reward A: 56.670
Epoch  81 | Survival: 0.20 | Target: 0.20 | Reward A: 67.295
Epoch  82 | Survival: 0.30 | Target: 0.30 | Reward A: 49.100
Epoch  83 | Survival: 0.00 | Target: 0.00 | Reward A: 53.040
Epoch  84 | Survival: 0.80 | Target: 0.80 | Reward A: 61.209
Epoch  85 | Survival: 0.00 | Target: 0.00 | Reward A: 30.135
Epoch  86 | Survival: 0.00 | Target: 0.00 | Reward A: 47.689
Epoch  87 | Survival: 0.30 | Target: 0.30 | Reward A: 47.349
