# extreme seed=13 started 2026-02-25T11:00:11.595664
# cmd: C:\Users\btisl\miniconda3\python.exe -m simulation.engine --seed 13 --epochs 500 --episodes 10 --protocol 1 --declare-cost 1.0 --query-cost 5.0 --respond-cost 0.3 --output-dir D:\Claude_Code\project_7\dynamic-cross-origin-constraint\data\campaign\extreme\seed_13

Epoch   0 | Survival: 0.20 | Target: 0.20 | Reward A: 47.509 | H: 1.088
Epoch   1 | Survival: 0.10 | Target: 0.10 | Reward A: 62.117 | H: 1.071
Epoch   2 | Survival: 0.10 | Target: 0.10 | Reward A: 67.761 | H: 1.079
Epoch   3 | Survival: 0.30 | Target: 0.30 | Reward A: 57.074 | H: 1.074
Epoch   4 | Survival: 0.80 | Target: 0.80 | Reward A: 29.809 | H: 1.059
Epoch   5 | Survival: 0.00 | Target: 0.00 | Reward A: 29.733 | H: 1.062
Epoch   6 | Survival: 0.20 | Target: 0.20 | Reward A: 59.088 | H: 1.051
Epoch   7 | Survival: 0.10 | Target: 0.10 | Reward A: 63.027 | H: 1.056
Epoch   8 | Survival: 0.10 | Target: 0.10 | Reward A: 53.681 | H: 1.061
Epoch   9 | Survival: 0.10 | Target: 0.10 | Reward A: 77.729 | H: 1.047
Epoch  10 | Survival: 0.20 | Target: 0.20 | Reward A: 49.979 | H: 1.049
Epoch  11 | Survival: 0.00 | Target: 0.00 | Reward A: 45.377 | H: 1.064
Epoch  12 | Survival: 0.10 | Target: 0.10 | Reward A: 51.118 | H: 1.036
Epoch  13 | Survival: 0.20 | Target: 0.20 | Reward A: 54.243 | H: 1.063
Epoch  14 | Survival: 0.40 | Target: 0.40 | Reward A: 67.703 | H: 1.032
Epoch  15 | Survival: 1.00 | Target: 1.00 | Reward A: 2.238 | H: 1.030
Epoch  16 | Survival: 0.00 | Target: 0.00 | Reward A: 57.693 | H: 1.019
Epoch  17 | Survival: 0.10 | Target: 0.10 | Reward A: 38.428 | H: 1.026
Epoch  18 | Survival: 0.20 | Target: 0.20 | Reward A: 62.760 | H: 0.971
Epoch  19 | Survival: 0.00 | Target: 0.00 | Reward A: 69.605 | H: 0.991
Epoch  20 | Survival: 0.00 | Target: 0.00 | Reward A: 46.788 | H: 0.967
Epoch  21 | Survival: 0.00 | Target: 0.00 | Reward A: 37.757 | H: 0.970
Epoch  22 | Survival: 0.20 | Target: 0.20 | Reward A: 55.078 | H: 0.949
Epoch  23 | Survival: 0.00 | Target: 0.00 | Reward A: 41.726 | H: 0.942
Epoch  24 | Survival: 0.00 | Target: 0.00 | Reward A: 65.449 | H: 0.953
Epoch  25 | Survival: 0.10 | Target: 0.10 | Reward A: 45.836 | H: 0.899
Epoch  26 | Survival: 0.70 | Target: 0.70 | Reward A: 38.343 | H: 0.900
Epoch  27 | Survival: 0.20 | Target: 0.20 | Reward A: 51.447 | H: 0.934
Epoch  28 | Survival: 0.20 | Target: 0.20 | Reward A: 29.958 | H: 0.867
Epoch  29 | Survival: 0.80 | Target: 0.80 | Reward A: 28.235 | H: 0.879
Epoch  30 | Survival: 0.10 | Target: 0.10 | Reward A: 52.064 | H: 0.872
Epoch  31 | Survival: 0.40 | Target: 0.40 | Reward A: 54.933 | H: 0.894
Epoch  32 | Survival: 0.20 | Target: 0.20 | Reward A: 64.436 | H: 0.847
Epoch  33 | Survival: 0.40 | Target: 0.40 | Reward A: 36.056 | H: 0.840
Epoch  34 | Survival: 0.20 | Target: 0.20 | Reward A: 47.604 | H: 0.848
Epoch  35 | Survival: 0.90 | Target: 0.90 | Reward A: 13.844 | H: 0.857
Epoch  36 | Survival: 0.20 | Target: 0.20 | Reward A: 64.133 | H: 0.856
Epoch  37 | Survival: 0.00 | Target: 0.00 | Reward A: 43.781 | H: 0.851
Epoch  38 | Survival: 0.10 | Target: 0.10 | Reward A: 49.307 | H: 0.873
Epoch  39 | Survival: 0.20 | Target: 0.20 | Reward A: 68.128 | H: 0.874
Epoch  40 | Survival: 0.00 | Target: 0.00 | Reward A: 48.644 | H: 0.856
Epoch  41 | Survival: 0.10 | Target: 0.10 | Reward A: 73.319 | H: 0.865
Epoch  42 | Survival: 0.00 | Target: 0.00 | Reward A: 71.472 | H: 0.868
Epoch  43 | Survival: 0.60 | Target: 0.60 | Reward A: 23.530 | H: 0.825
Epoch  44 | Survival: 0.70 | Target: 0.70 | Reward A: 45.200 | H: 0.827
Epoch  45 | Survival: 0.00 | Target: 0.00 | Reward A: 55.638 | H: 0.813
Epoch  46 | Survival: 0.30 | Target: 0.30 | Reward A: 69.491 | H: 0.862
Epoch  47 | Survival: 0.10 | Target: 0.10 | Reward A: 73.393 | H: 0.869
Epoch  48 | Survival: 0.70 | Target: 0.70 | Reward A: 27.627 | H: 0.828
Epoch  49 | Survival: 0.10 | Target: 0.10 | Reward A: 65.807 | H: 0.846
Epoch  50 | Survival: 0.20 | Target: 0.20 | Reward A: 65.357 | H: 0.782
