# high_pressure seed=0 started 2026-02-24T23:37:58.023183
# cmd: C:\Users\btisl\miniconda3\python.exe -m simulation.engine --seed 0 --epochs 500 --episodes 10 --protocol 1 --declare-cost 1.0 --query-cost 3.0 --respond-cost 0.5 --output-dir D:\Claude_Code\project_7\dynamic-cross-origin-constraint\data\campaign\high_pressure\seed_00

Epoch   0 | Survival: 0.70 | Target: 0.70 | Reward A: 42.805 | H: 1.082
Epoch   1 | Survival: 0.20 | Target: 0.20 | Reward A: 43.775 | H: 1.076
Epoch   2 | Survival: 0.10 | Target: 0.10 | Reward A: 59.948 | H: 1.073
Epoch   3 | Survival: 0.00 | Target: 0.00 | Reward A: 52.600 | H: 1.076
Epoch   4 | Survival: 0.00 | Target: 0.00 | Reward A: 73.906 | H: 1.061
Epoch   5 | Survival: 0.40 | Target: 0.40 | Reward A: 31.455 | H: 1.066
Epoch   6 | Survival: 0.00 | Target: 0.00 | Reward A: 65.103 | H: 1.057
Epoch   7 | Survival: 0.40 | Target: 0.40 | Reward A: 39.384 | H: 1.072
Epoch   8 | Survival: 0.10 | Target: 0.10 | Reward A: 28.179 | H: 1.057
Epoch   9 | Survival: 0.00 | Target: 0.00 | Reward A: 34.084 | H: 1.039
Epoch  10 | Survival: 0.70 | Target: 0.70 | Reward A: 29.802 | H: 1.021
Epoch  11 | Survival: 0.50 | Target: 0.50 | Reward A: 54.695 | H: 1.020
Epoch  12 | Survival: 0.00 | Target: 0.00 | Reward A: 65.242 | H: 1.031
Epoch  13 | Survival: 0.70 | Target: 0.70 | Reward A: 41.949 | H: 1.047
Epoch  14 | Survival: 0.00 | Target: 0.00 | Reward A: 69.321 | H: 1.052
Epoch  15 | Survival: 0.30 | Target: 0.30 | Reward A: 45.196 | H: 1.055
Epoch  16 | Survival: 0.60 | Target: 0.60 | Reward A: 55.539 | H: 1.064
Epoch  17 | Survival: 0.30 | Target: 0.30 | Reward A: 49.633 | H: 1.062
Epoch  18 | Survival: 0.00 | Target: 0.00 | Reward A: 34.209 | H: 1.055
Epoch  19 | Survival: 0.20 | Target: 0.20 | Reward A: 59.096 | H: 1.064
Epoch  20 | Survival: 0.00 | Target: 0.00 | Reward A: 48.840 | H: 1.039
Epoch  21 | Survival: 0.00 | Target: 0.00 | Reward A: 51.364 | H: 1.045
Epoch  22 | Survival: 0.00 | Target: 0.00 | Reward A: 54.896 | H: 1.047
Epoch  23 | Survival: 0.60 | Target: 0.60 | Reward A: 43.842 | H: 1.053
Epoch  24 | Survival: 0.00 | Target: 0.00 | Reward A: 42.489 | H: 1.050
Epoch  25 | Survival: 0.10 | Target: 0.10 | Reward A: 47.373 | H: 1.041
Epoch  26 | Survival: 0.00 | Target: 0.00 | Reward A: 57.426 | H: 1.073
Epoch  27 | Survival: 0.50 | Target: 0.50 | Reward A: 65.724 | H: 1.049
Epoch  28 | Survival: 1.00 | Target: 1.00 | Reward A: 1.320 | H: 1.059
Epoch  29 | Survival: 0.00 | Target: 0.00 | Reward A: 49.245 | H: 1.041
Epoch  30 | Survival: 0.00 | Target: 0.00 | Reward A: 44.823 | H: 1.056
Epoch  31 | Survival: 0.10 | Target: 0.10 | Reward A: 57.952 | H: 1.055
Epoch  32 | Survival: 0.00 | Target: 0.00 | Reward A: 68.473 | H: 1.018
Epoch  33 | Survival: 0.00 | Target: 0.00 | Reward A: 51.218 | H: 1.048
Epoch  34 | Survival: 0.00 | Target: 0.00 | Reward A: 35.566 | H: 1.026
Epoch  35 | Survival: 0.20 | Target: 0.20 | Reward A: 52.431 | H: 1.035
Epoch  36 | Survival: 0.00 | Target: 0.00 | Reward A: 54.190 | H: 1.052
Epoch  37 | Survival: 0.10 | Target: 0.10 | Reward A: 70.924 | H: 1.024
Epoch  38 | Survival: 0.00 | Target: 0.00 | Reward A: 38.224 | H: 1.033
Epoch  39 | Survival: 0.50 | Target: 0.50 | Reward A: 38.919 | H: 1.037
Epoch  40 | Survival: 0.00 | Target: 0.00 | Reward A: 65.426 | H: 1.016
Epoch  41 | Survival: 0.40 | Target: 0.40 | Reward A: 28.177 | H: 1.034
Epoch  42 | Survival: 0.00 | Target: 0.00 | Reward A: 53.484 | H: 1.027
Epoch  43 | Survival: 0.10 | Target: 0.10 | Reward A: 54.297 | H: 1.003
Epoch  44 | Survival: 0.50 | Target: 0.50 | Reward A: 36.155 | H: 1.024
Epoch  45 | Survival: 0.20 | Target: 0.20 | Reward A: 63.976 | H: 1.014
Epoch  46 | Survival: 0.50 | Target: 0.50 | Reward A: 47.802 | H: 1.019
Epoch  47 | Survival: 0.00 | Target: 0.00 | Reward A: 58.094 | H: 1.026
Epoch  48 | Survival: 0.00 | Target: 0.00 | Reward A: 35.199 | H: 1.011
Epoch  49 | Survival: 0.80 | Target: 0.80 | Reward A: 42.166 | H: 1.028
Epoch  50 | Survival: 0.00 | Target: 0.00 | Reward A: 45.411 | H: 1.032
Epoch  51 | Survival: 0.10 | Target: 0.10 | Reward A: 57.419 | H: 1.036
Epoch  52 | Survival: 0.20 | Target: 0.20 | Reward A: 71.160 | H: 1.005
Epoch  53 | Survival: 0.00 | Target: 0.00 | Reward A: 58.647 | H: 1.031
Epoch  54 | Survival: 0.50 | Target: 0.50 | Reward A: 54.366 | H: 1.024
Epoch  55 | Survival: 0.00 | Target: 0.00 | Reward A: 71.961 | H: 1.018
Epoch  56 | Survival: 0.50 | Target: 0.50 | Reward A: 28.733 | H: 1.016
Epoch  57 | Survival: 0.60 | Target: 0.60 | Reward A: 54.961 | H: 1.016
Epoch  58 | Survival: 0.20 | Target: 0.20 | Reward A: 52.922 | H: 1.013
Epoch  59 | Survival: 0.10 | Target: 0.10 | Reward A: 56.992 | H: 0.985
Epoch  60 | Survival: 0.10 | Target: 0.10 | Reward A: 67.725 | H: 1.004
