# control seed=5 started 2026-02-25T18:52:12.507631
# cmd: C:\Users\btisl\miniconda3\python.exe -m simulation.engine --seed 5 --epochs 500 --episodes 10 --protocol 0 --declare-cost 1.0 --query-cost 1.5 --respond-cost 0.8 --output-dir D:\Claude_Code\project_7\dynamic-cross-origin-constraint\data\campaign\control\seed_05

Epoch   0 | Survival: 0.70 | Target: 0.70 | Reward A: 30.746
Epoch   1 | Survival: 0.30 | Target: 0.30 | Reward A: 65.362
Epoch   2 | Survival: 0.40 | Target: 0.40 | Reward A: 35.241
Epoch   3 | Survival: 0.20 | Target: 0.20 | Reward A: 42.428
Epoch   4 | Survival: 0.30 | Target: 0.30 | Reward A: 29.010
Epoch   5 | Survival: 0.50 | Target: 0.50 | Reward A: 37.284
Epoch   6 | Survival: 0.00 | Target: 0.00 | Reward A: 68.360
Epoch   7 | Survival: 0.00 | Target: 0.00 | Reward A: 70.659
Epoch   8 | Survival: 0.90 | Target: 0.90 | Reward A: 42.803
Epoch   9 | Survival: 0.10 | Target: 0.10 | Reward A: 65.629
Epoch  10 | Survival: 0.20 | Target: 0.20 | Reward A: 65.505
Epoch  11 | Survival: 0.40 | Target: 0.40 | Reward A: 55.144
Epoch  12 | Survival: 0.50 | Target: 0.50 | Reward A: 39.442
Epoch  13 | Survival: 0.30 | Target: 0.30 | Reward A: 35.434
Epoch  14 | Survival: 0.50 | Target: 0.50 | Reward A: 48.735
Epoch  15 | Survival: 0.00 | Target: 0.00 | Reward A: 75.283
Epoch  16 | Survival: 0.00 | Target: 0.00 | Reward A: 54.765
Epoch  17 | Survival: 0.10 | Target: 0.10 | Reward A: 74.685
Epoch  18 | Survival: 0.00 | Target: 0.00 | Reward A: 56.828
Epoch  19 | Survival: 0.00 | Target: 0.00 | Reward A: 39.915
Epoch  20 | Survival: 0.00 | Target: 0.00 | Reward A: 61.982
Epoch  21 | Survival: 0.10 | Target: 0.10 | Reward A: 52.753
Epoch  22 | Survival: 0.10 | Target: 0.10 | Reward A: 60.067
Epoch  23 | Survival: 0.90 | Target: 0.90 | Reward A: 6.198
Epoch  24 | Survival: 0.00 | Target: 0.00 | Reward A: 54.777
Epoch  25 | Survival: 0.20 | Target: 0.20 | Reward A: 44.053
