# control seed=8 started 2026-02-25T19:13:57.390601
# cmd: C:\Users\btisl\miniconda3\python.exe -m simulation.engine --seed 8 --epochs 500 --episodes 10 --protocol 0 --declare-cost 1.0 --query-cost 1.5 --respond-cost 0.8 --output-dir D:\Claude_Code\project_7\dynamic-cross-origin-constraint\data\campaign\control\seed_08

Epoch   0 | Survival: 0.00 | Target: 0.00 | Reward A: 59.050
Epoch   1 | Survival: 0.00 | Target: 0.00 | Reward A: 50.189
Epoch   2 | Survival: 0.70 | Target: 0.70 | Reward A: 36.861
Epoch   3 | Survival: 0.10 | Target: 0.10 | Reward A: 44.461
Epoch   4 | Survival: 0.20 | Target: 0.20 | Reward A: 68.136
Epoch   5 | Survival: 0.10 | Target: 0.10 | Reward A: 50.266
Epoch   6 | Survival: 0.00 | Target: 0.00 | Reward A: 52.943
Epoch   7 | Survival: 0.70 | Target: 0.70 | Reward A: 45.606
Epoch   8 | Survival: 0.20 | Target: 0.20 | Reward A: 64.081
Epoch   9 | Survival: 0.20 | Target: 0.20 | Reward A: 28.435
Epoch  10 | Survival: 0.00 | Target: 0.00 | Reward A: 28.575
Epoch  11 | Survival: 0.30 | Target: 0.30 | Reward A: 44.937
Epoch  12 | Survival: 0.40 | Target: 0.40 | Reward A: 59.900
Epoch  13 | Survival: 0.00 | Target: 0.00 | Reward A: 47.057
Epoch  14 | Survival: 0.10 | Target: 0.10 | Reward A: 75.372
Epoch  15 | Survival: 0.00 | Target: 0.00 | Reward A: 40.319
Epoch  16 | Survival: 0.50 | Target: 0.50 | Reward A: 43.976
Epoch  17 | Survival: 0.40 | Target: 0.40 | Reward A: 61.707
Epoch  18 | Survival: 0.50 | Target: 0.50 | Reward A: 58.505
Epoch  19 | Survival: 0.00 | Target: 0.00 | Reward A: 51.801
Epoch  20 | Survival: 0.60 | Target: 0.60 | Reward A: 26.933
Epoch  21 | Survival: 0.00 | Target: 0.00 | Reward A: 28.618
Epoch  22 | Survival: 0.10 | Target: 0.10 | Reward A: 61.412
Epoch  23 | Survival: 0.00 | Target: 0.00 | Reward A: 45.166
Epoch  24 | Survival: 0.30 | Target: 0.30 | Reward A: 54.444
Epoch  25 | Survival: 0.00 | Target: 0.00 | Reward A: 63.218
Epoch  26 | Survival: 0.40 | Target: 0.40 | Reward A: 55.316
Epoch  27 | Survival: 0.20 | Target: 0.20 | Reward A: 59.099
Epoch  28 | Survival: 0.10 | Target: 0.10 | Reward A: 50.290
Epoch  29 | Survival: 0.00 | Target: 0.00 | Reward A: 43.848
Epoch  30 | Survival: 0.00 | Target: 0.00 | Reward A: 64.631
Epoch  31 | Survival: 0.40 | Target: 0.40 | Reward A: 42.069
Epoch  32 | Survival: 0.20 | Target: 0.20 | Reward A: 60.606
Epoch  33 | Survival: 0.60 | Target: 0.60 | Reward A: 28.131
Epoch  34 | Survival: 0.80 | Target: 0.80 | Reward A: 51.863
Epoch  35 | Survival: 0.20 | Target: 0.20 | Reward A: 66.742
Epoch  36 | Survival: 0.90 | Target: 0.90 | Reward A: 43.051
Epoch  37 | Survival: 0.10 | Target: 0.10 | Reward A: 58.797
Epoch  38 | Survival: 0.60 | Target: 0.60 | Reward A: 47.807
Epoch  39 | Survival: 0.40 | Target: 0.40 | Reward A: 52.761
Epoch  40 | Survival: 0.90 | Target: 0.90 | Reward A: 23.161
Epoch  41 | Survival: 0.40 | Target: 0.40 | Reward A: 72.521
Epoch  42 | Survival: 0.00 | Target: 0.00 | Reward A: 35.306
Epoch  43 | Survival: 0.00 | Target: 0.00 | Reward A: 61.249
Epoch  44 | Survival: 0.40 | Target: 0.40 | Reward A: 58.475
Epoch  45 | Survival: 0.10 | Target: 0.10 | Reward A: 50.576
Epoch  46 | Survival: 0.50 | Target: 0.50 | Reward A: 56.933
Epoch  47 | Survival: 0.10 | Target: 0.10 | Reward A: 50.965
Epoch  48 | Survival: 0.50 | Target: 0.50 | Reward A: 34.912
Epoch  49 | Survival: 0.60 | Target: 0.60 | Reward A: 52.197
Epoch  50 | Survival: 0.80 | Target: 0.80 | Reward A: 46.304
Epoch  51 | Survival: 0.10 | Target: 0.10 | Reward A: 40.311
Epoch  52 | Survival: 0.20 | Target: 0.20 | Reward A: 55.070
Epoch  53 | Survival: 0.30 | Target: 0.30 | Reward A: 57.782
Epoch  54 | Survival: 0.00 | Target: 0.00 | Reward A: 38.768
Epoch  55 | Survival: 0.20 | Target: 0.20 | Reward A: 71.587
Epoch  56 | Survival: 0.30 | Target: 0.30 | Reward A: 67.259
Epoch  57 | Survival: 0.20 | Target: 0.20 | Reward A: 61.756
Epoch  58 | Survival: 0.20 | Target: 0.20 | Reward A: 24.831
Epoch  59 | Survival: 0.00 | Target: 0.00 | Reward A: 81.738
Epoch  60 | Survival: 0.00 | Target: 0.00 | Reward A: 51.292
Epoch  61 | Survival: 0.20 | Target: 0.20 | Reward A: 61.268
Epoch  62 | Survival: 0.20 | Target: 0.20 | Reward A: 46.882
Epoch  63 | Survival: 0.10 | Target: 0.10 | Reward A: 75.021
