# high_pressure seed=3 started 2026-02-25T01:04:43.713491
# cmd: C:\Users\btisl\miniconda3\python.exe -m simulation.engine --seed 3 --epochs 500 --episodes 10 --protocol 1 --declare-cost 1.0 --query-cost 3.0 --respond-cost 0.5 --output-dir D:\Claude_Code\project_7\dynamic-cross-origin-constraint\data\campaign\high_pressure\seed_03

Epoch   0 | Survival: 0.10 | Target: 0.10 | Reward A: 57.141 | H: 1.058
Epoch   1 | Survival: 0.30 | Target: 0.30 | Reward A: 65.028 | H: 1.066
Epoch   2 | Survival: 0.50 | Target: 0.50 | Reward A: 43.226 | H: 1.089
Epoch   3 | Survival: 0.30 | Target: 0.30 | Reward A: 61.812 | H: 1.085
Epoch   4 | Survival: 0.50 | Target: 0.50 | Reward A: 22.604 | H: 1.089
Epoch   5 | Survival: 0.10 | Target: 0.10 | Reward A: 30.647 | H: 1.087
Epoch   6 | Survival: 0.00 | Target: 0.00 | Reward A: 36.590 | H: 1.090
Epoch   7 | Survival: 0.60 | Target: 0.60 | Reward A: 31.538 | H: 1.079
Epoch   8 | Survival: 0.10 | Target: 0.10 | Reward A: 67.891 | H: 1.074
Epoch   9 | Survival: 0.10 | Target: 0.10 | Reward A: 68.258 | H: 1.080
Epoch  10 | Survival: 0.50 | Target: 0.50 | Reward A: 72.944 | H: 1.088
Epoch  11 | Survival: 0.30 | Target: 0.30 | Reward A: 67.657 | H: 1.081
Epoch  12 | Survival: 0.30 | Target: 0.30 | Reward A: 55.378 | H: 1.082
Epoch  13 | Survival: 0.10 | Target: 0.10 | Reward A: 70.958 | H: 1.082
Epoch  14 | Survival: 0.50 | Target: 0.50 | Reward A: 55.569 | H: 1.063
Epoch  15 | Survival: 0.10 | Target: 0.10 | Reward A: 58.550 | H: 1.083
Epoch  16 | Survival: 0.30 | Target: 0.30 | Reward A: 37.269 | H: 1.084
Epoch  17 | Survival: 0.10 | Target: 0.10 | Reward A: 62.306 | H: 1.080
Epoch  18 | Survival: 0.40 | Target: 0.40 | Reward A: 65.002 | H: 1.075
Epoch  19 | Survival: 0.10 | Target: 0.10 | Reward A: 70.457 | H: 1.081
Epoch  20 | Survival: 0.20 | Target: 0.20 | Reward A: 40.378 | H: 1.070
Epoch  21 | Survival: 0.40 | Target: 0.40 | Reward A: 21.403 | H: 1.075
Epoch  22 | Survival: 0.00 | Target: 0.00 | Reward A: 55.264 | H: 1.070
Epoch  23 | Survival: 0.20 | Target: 0.20 | Reward A: 53.196 | H: 1.071
Epoch  24 | Survival: 0.00 | Target: 0.00 | Reward A: 61.046 | H: 1.057
Epoch  25 | Survival: 0.80 | Target: 0.80 | Reward A: 9.677 | H: 1.052
Epoch  26 | Survival: 0.00 | Target: 0.00 | Reward A: 45.743 | H: 1.041
Epoch  27 | Survival: 0.10 | Target: 0.10 | Reward A: 41.677 | H: 1.055
Epoch  28 | Survival: 0.40 | Target: 0.40 | Reward A: 57.654 | H: 1.070
Epoch  29 | Survival: 0.30 | Target: 0.30 | Reward A: 61.325 | H: 1.050
Epoch  30 | Survival: 0.00 | Target: 0.00 | Reward A: 35.823 | H: 1.063
Epoch  31 | Survival: 0.10 | Target: 0.10 | Reward A: 41.108 | H: 1.047
Epoch  32 | Survival: 0.00 | Target: 0.00 | Reward A: 69.633 | H: 1.063
Epoch  33 | Survival: 0.10 | Target: 0.10 | Reward A: 40.330 | H: 1.058
Epoch  34 | Survival: 0.00 | Target: 0.00 | Reward A: 45.544 | H: 1.060
Epoch  35 | Survival: 0.00 | Target: 0.00 | Reward A: 58.474 | H: 1.050
Epoch  36 | Survival: 0.80 | Target: 0.80 | Reward A: 28.011 | H: 1.074
Epoch  37 | Survival: 0.60 | Target: 0.60 | Reward A: 48.991 | H: 1.069
Epoch  38 | Survival: 0.30 | Target: 0.30 | Reward A: 36.061 | H: 1.062
Epoch  39 | Survival: 0.30 | Target: 0.30 | Reward A: 56.018 | H: 1.046
Epoch  40 | Survival: 0.10 | Target: 0.10 | Reward A: 64.990 | H: 1.058
Epoch  41 | Survival: 0.40 | Target: 0.40 | Reward A: 66.072 | H: 1.052
Epoch  42 | Survival: 0.30 | Target: 0.30 | Reward A: 56.529 | H: 1.043
