# baseline seed=14 started 2026-02-24T07:05:44.866229
# cmd: C:\Users\btisl\miniconda3\python.exe -m simulation.engine --seed 14 --epochs 500 --episodes 10 --protocol 1 --declare-cost 1.0 --query-cost 1.5 --respond-cost 0.8 --output-dir D:\Claude_Code\project_7\dynamic-cross-origin-constraint\data\campaign\baseline\seed_14

Epoch   0 | Survival: 0.10 | Target: 0.10 | Reward A: 56.772 | H: 1.094
Epoch   1 | Survival: 0.20 | Target: 0.20 | Reward A: 63.095 | H: 1.098
Epoch   2 | Survival: 0.00 | Target: 0.00 | Reward A: 73.528 | H: 1.092
Epoch   3 | Survival: 0.60 | Target: 0.60 | Reward A: 29.549 | H: 1.098
Epoch   4 | Survival: 0.00 | Target: 0.00 | Reward A: 56.730 | H: 1.097
Epoch   5 | Survival: 0.00 | Target: 0.00 | Reward A: 40.711 | H: 1.096
Epoch   6 | Survival: 0.00 | Target: 0.00 | Reward A: 79.631 | H: 1.092
Epoch   7 | Survival: 0.30 | Target: 0.30 | Reward A: 63.324 | H: 1.086
Epoch   8 | Survival: 0.00 | Target: 0.00 | Reward A: 74.213 | H: 1.090
Epoch   9 | Survival: 0.10 | Target: 0.10 | Reward A: 48.482 | H: 1.089
Epoch  10 | Survival: 0.00 | Target: 0.00 | Reward A: 29.191 | H: 1.077
Epoch  11 | Survival: 0.10 | Target: 0.10 | Reward A: 61.006 | H: 1.090
Epoch  12 | Survival: 0.50 | Target: 0.50 | Reward A: 41.654 | H: 1.077
Epoch  13 | Survival: 0.00 | Target: 0.00 | Reward A: 65.820 | H: 1.088
Epoch  14 | Survival: 1.00 | Target: 1.00 | Reward A: 1.411 | H: 1.081
Epoch  15 | Survival: 0.00 | Target: 0.00 | Reward A: 55.571 | H: 1.080
Epoch  16 | Survival: 0.50 | Target: 0.50 | Reward A: 33.592 | H: 1.070
Epoch  17 | Survival: 0.40 | Target: 0.40 | Reward A: 68.907 | H: 1.068
Epoch  18 | Survival: 0.00 | Target: 0.00 | Reward A: 57.866 | H: 1.070
Epoch  19 | Survival: 0.00 | Target: 0.00 | Reward A: 36.372 | H: 1.070
Epoch  20 | Survival: 0.00 | Target: 0.00 | Reward A: 38.395 | H: 1.069
Epoch  21 | Survival: 0.20 | Target: 0.20 | Reward A: 56.194 | H: 1.050
Epoch  22 | Survival: 0.00 | Target: 0.00 | Reward A: 39.103 | H: 1.071
Epoch  23 | Survival: 0.00 | Target: 0.00 | Reward A: 51.906 | H: 1.070
Epoch  24 | Survival: 0.00 | Target: 0.00 | Reward A: 56.096 | H: 1.041
Epoch  25 | Survival: 0.50 | Target: 0.50 | Reward A: 47.155 | H: 1.075
Epoch  26 | Survival: 0.60 | Target: 0.60 | Reward A: 58.394 | H: 1.066
Epoch  27 | Survival: 0.40 | Target: 0.40 | Reward A: 29.704 | H: 1.061
Epoch  28 | Survival: 0.50 | Target: 0.50 | Reward A: 47.894 | H: 1.064
Epoch  29 | Survival: 0.30 | Target: 0.30 | Reward A: 63.621 | H: 1.062
Epoch  30 | Survival: 0.60 | Target: 0.60 | Reward A: 57.755 | H: 1.038
Epoch  31 | Survival: 0.00 | Target: 0.00 | Reward A: 71.660 | H: 1.063
Epoch  32 | Survival: 0.70 | Target: 0.70 | Reward A: 43.663 | H: 1.045
Epoch  33 | Survival: 0.10 | Target: 0.10 | Reward A: 58.958 | H: 1.047
Epoch  34 | Survival: 0.10 | Target: 0.10 | Reward A: 35.083 | H: 1.044
Epoch  35 | Survival: 0.00 | Target: 0.00 | Reward A: 70.614 | H: 1.052
Epoch  36 | Survival: 0.00 | Target: 0.00 | Reward A: 36.760 | H: 1.067
Epoch  37 | Survival: 0.20 | Target: 0.20 | Reward A: 51.109 | H: 1.076
Epoch  38 | Survival: 0.40 | Target: 0.40 | Reward A: 69.555 | H: 1.052
Epoch  39 | Survival: 0.10 | Target: 0.10 | Reward A: 53.625 | H: 1.086
Epoch  40 | Survival: 0.60 | Target: 0.60 | Reward A: 45.767 | H: 1.050
Epoch  41 | Survival: 0.10 | Target: 0.10 | Reward A: 50.866 | H: 1.083
Epoch  42 | Survival: 0.50 | Target: 0.50 | Reward A: 34.501 | H: 1.070
Epoch  43 | Survival: 0.30 | Target: 0.30 | Reward A: 69.024 | H: 1.067
Epoch  44 | Survival: 0.30 | Target: 0.30 | Reward A: 64.969 | H: 1.082
Epoch  45 | Survival: 0.10 | Target: 0.10 | Reward A: 48.107 | H: 1.089
Epoch  46 | Survival: 0.40 | Target: 0.40 | Reward A: 40.010 | H: 1.085
Epoch  47 | Survival: 0.60 | Target: 0.60 | Reward A: 40.670 | H: 1.094
Epoch  48 | Survival: 0.00 | Target: 0.00 | Reward A: 55.651 | H: 1.097
Epoch  49 | Survival: 0.50 | Target: 0.50 | Reward A: 45.874 | H: 1.097
Epoch  50 | Survival: 0.00 | Target: 0.00 | Reward A: 72.925 | H: 1.090
Epoch  51 | Survival: 0.10 | Target: 0.10 | Reward A: 60.322 | H: 1.097
Epoch  52 | Survival: 0.30 | Target: 0.30 | Reward A: 24.461 | H: 1.095
Epoch  53 | Survival: 0.20 | Target: 0.20 | Reward A: 67.269 | H: 1.093
Epoch  54 | Survival: 0.20 | Target: 0.20 | Reward A: 56.441 | H: 1.087
Epoch  55 | Survival: 0.20 | Target: 0.20 | Reward A: 66.318 | H: 1.090
Epoch  56 | Survival: 0.20 | Target: 0.20 | Reward A: 54.584 | H: 1.083
Epoch  57 | Survival: 0.10 | Target: 0.10 | Reward A: 73.724 | H: 1.089
Epoch  58 | Survival: 0.20 | Target: 0.20 | Reward A: 33.809 | H: 1.078
Epoch  59 | Survival: 0.30 | Target: 0.30 | Reward A: 48.666 | H: 1.072
Epoch  60 | Survival: 0.00 | Target: 0.00 | Reward A: 68.539 | H: 1.087
Epoch  61 | Survival: 0.60 | Target: 0.60 | Reward A: 35.757 | H: 1.091
Epoch  62 | Survival: 0.00 | Target: 0.00 | Reward A: 28.228 | H: 1.092
Epoch  63 | Survival: 0.00 | Target: 0.00 | Reward A: 73.631 | H: 1.092
Epoch  64 | Survival: 0.40 | Target: 0.40 | Reward A: 43.277 | H: 1.075
Epoch  65 | Survival: 0.00 | Target: 0.00 | Reward A: 71.768 | H: 1.090
Epoch  66 | Survival: 0.40 | Target: 0.40 | Reward A: 41.305 | H: 1.098
Epoch  67 | Survival: 0.50 | Target: 0.50 | Reward A: 27.668 | H: 1.076
Epoch  68 | Survival: 0.00 | Target: 0.00 | Reward A: 44.555 | H: 1.085
Epoch  69 | Survival: 0.30 | Target: 0.30 | Reward A: 72.521 | H: 1.084
Epoch  70 | Survival: 0.20 | Target: 0.20 | Reward A: 78.681 | H: 1.088
Epoch  71 | Survival: 0.10 | Target: 0.10 | Reward A: 61.924 | H: 1.090
Epoch  72 | Survival: 0.00 | Target: 0.00 | Reward A: 32.423 | H: 1.093
Epoch  73 | Survival: 0.10 | Target: 0.10 | Reward A: 54.324 | H: 1.078
Epoch  74 | Survival: 0.40 | Target: 0.40 | Reward A: 44.714 | H: 1.089
Epoch  75 | Survival: 0.00 | Target: 0.00 | Reward A: 56.635 | H: 1.073
Epoch  76 | Survival: 0.10 | Target: 0.10 | Reward A: 49.079 | H: 1.091
Epoch  77 | Survival: 0.40 | Target: 0.40 | Reward A: 69.576 | H: 1.063
Epoch  78 | Survival: 0.10 | Target: 0.10 | Reward A: 42.426 | H: 1.075
Epoch  79 | Survival: 0.00 | Target: 0.00 | Reward A: 61.619 | H: 1.084
Epoch  80 | Survival: 0.00 | Target: 0.00 | Reward A: 57.462 | H: 1.076
Epoch  81 | Survival: 0.20 | Target: 0.20 | Reward A: 54.802 | H: 1.081
Epoch  82 | Survival: 0.10 | Target: 0.10 | Reward A: 63.920 | H: 1.080
