# baseline seed=1 started 2026-02-24T07:05:44.807956
# cmd: C:\Users\btisl\miniconda3\python.exe -m simulation.engine --seed 1 --epochs 500 --episodes 10 --protocol 1 --declare-cost 1.0 --query-cost 1.5 --respond-cost 0.8 --output-dir D:\Claude_Code\project_7\dynamic-cross-origin-constraint\data\campaign\baseline\seed_01

Epoch   0 | Survival: 0.40 | Target: 0.40 | Reward A: 48.086 | H: 1.080
Epoch   1 | Survival: 0.00 | Target: 0.00 | Reward A: 58.675 | H: 1.074
Epoch   2 | Survival: 0.20 | Target: 0.20 | Reward A: 72.966 | H: 1.068
Epoch   3 | Survival: 0.00 | Target: 0.00 | Reward A: 54.186 | H: 1.056
Epoch   4 | Survival: 0.50 | Target: 0.50 | Reward A: 28.014 | H: 1.033
Epoch   5 | Survival: 0.00 | Target: 0.00 | Reward A: 63.611 | H: 1.035
Epoch   6 | Survival: 0.30 | Target: 0.30 | Reward A: 34.567 | H: 1.021
Epoch   7 | Survival: 0.20 | Target: 0.20 | Reward A: 33.656 | H: 1.006
Epoch   8 | Survival: 0.20 | Target: 0.20 | Reward A: 50.281 | H: 0.992
Epoch   9 | Survival: 0.50 | Target: 0.50 | Reward A: 45.235 | H: 0.993
Epoch  10 | Survival: 0.00 | Target: 0.00 | Reward A: 43.194 | H: 0.965
Epoch  11 | Survival: 0.10 | Target: 0.10 | Reward A: 68.436 | H: 0.964
Epoch  12 | Survival: 0.10 | Target: 0.10 | Reward A: 53.288 | H: 0.946
Epoch  13 | Survival: 0.00 | Target: 0.00 | Reward A: 56.177 | H: 0.996
Epoch  14 | Survival: 0.30 | Target: 0.30 | Reward A: 62.894 | H: 0.979
Epoch  15 | Survival: 0.30 | Target: 0.30 | Reward A: 62.993 | H: 0.953
Epoch  16 | Survival: 0.10 | Target: 0.10 | Reward A: 39.453 | H: 0.988
Epoch  17 | Survival: 0.00 | Target: 0.00 | Reward A: 31.306 | H: 0.969
Epoch  18 | Survival: 0.20 | Target: 0.20 | Reward A: 49.077 | H: 1.002
Epoch  19 | Survival: 0.40 | Target: 0.40 | Reward A: 60.762 | H: 0.991
Epoch  20 | Survival: 0.20 | Target: 0.20 | Reward A: 57.006 | H: 0.973
Epoch  21 | Survival: 0.00 | Target: 0.00 | Reward A: 76.655 | H: 0.963
Epoch  22 | Survival: 0.00 | Target: 0.00 | Reward A: 51.639 | H: 0.938
Epoch  23 | Survival: 0.00 | Target: 0.00 | Reward A: 44.826 | H: 0.936
Epoch  24 | Survival: 0.50 | Target: 0.50 | Reward A: 53.934 | H: 0.981
Epoch  25 | Survival: 0.30 | Target: 0.30 | Reward A: 49.805 | H: 0.908
Epoch  26 | Survival: 0.00 | Target: 0.00 | Reward A: 65.037 | H: 0.935
Epoch  27 | Survival: 0.70 | Target: 0.70 | Reward A: 17.126 | H: 0.874
Epoch  28 | Survival: 0.00 | Target: 0.00 | Reward A: 30.920 | H: 0.933
Epoch  29 | Survival: 0.20 | Target: 0.20 | Reward A: 53.373 | H: 0.921
Epoch  30 | Survival: 0.00 | Target: 0.00 | Reward A: 61.612 | H: 0.917
Epoch  31 | Survival: 0.30 | Target: 0.30 | Reward A: 69.728 | H: 0.939
Epoch  32 | Survival: 0.00 | Target: 0.00 | Reward A: 59.343 | H: 0.902
Epoch  33 | Survival: 0.00 | Target: 0.00 | Reward A: 41.418 | H: 0.921
Epoch  34 | Survival: 0.00 | Target: 0.00 | Reward A: 57.320 | H: 0.886
Epoch  35 | Survival: 0.10 | Target: 0.10 | Reward A: 49.929 | H: 0.880
Epoch  36 | Survival: 0.10 | Target: 0.10 | Reward A: 67.977 | H: 0.899
Epoch  37 | Survival: 0.00 | Target: 0.00 | Reward A: 58.034 | H: 0.846
Epoch  38 | Survival: 0.40 | Target: 0.40 | Reward A: 56.028 | H: 0.898
Epoch  39 | Survival: 0.50 | Target: 0.50 | Reward A: 52.592 | H: 0.904
Epoch  40 | Survival: 1.00 | Target: 1.00 | Reward A: 13.141 | H: 0.860
Epoch  41 | Survival: 0.50 | Target: 0.50 | Reward A: 49.837 | H: 0.884
Epoch  42 | Survival: 0.30 | Target: 0.30 | Reward A: 67.032 | H: 0.886
Epoch  43 | Survival: 0.50 | Target: 0.50 | Reward A: 61.918 | H: 0.872
Epoch  44 | Survival: 0.10 | Target: 0.10 | Reward A: 65.094 | H: 0.890
Epoch  45 | Survival: 0.30 | Target: 0.30 | Reward A: 65.484 | H: 0.904
Epoch  46 | Survival: 0.20 | Target: 0.20 | Reward A: 67.739 | H: 0.916
Epoch  47 | Survival: 0.00 | Target: 0.00 | Reward A: 36.499 | H: 0.904
Epoch  48 | Survival: 0.50 | Target: 0.50 | Reward A: 52.896 | H: 0.928
Epoch  49 | Survival: 0.00 | Target: 0.00 | Reward A: 48.239 | H: 0.938
