# baseline seed=4 started 2026-02-24T07:05:44.822182
# cmd: C:\Users\btisl\miniconda3\python.exe -m simulation.engine --seed 4 --epochs 500 --episodes 10 --protocol 1 --declare-cost 1.0 --query-cost 1.5 --respond-cost 0.8 --output-dir D:\Claude_Code\project_7\dynamic-cross-origin-constraint\data\campaign\baseline\seed_04

Epoch   0 | Survival: 0.00 | Target: 0.00 | Reward A: 53.110 | H: 1.094
Epoch   1 | Survival: 0.50 | Target: 0.50 | Reward A: 43.452 | H: 1.088
Epoch   2 | Survival: 0.00 | Target: 0.00 | Reward A: 63.477 | H: 1.083
Epoch   3 | Survival: 0.30 | Target: 0.30 | Reward A: 29.649 | H: 1.092
Epoch   4 | Survival: 0.30 | Target: 0.30 | Reward A: 45.112 | H: 1.089
Epoch   5 | Survival: 0.20 | Target: 0.20 | Reward A: 36.318 | H: 1.091
Epoch   6 | Survival: 0.80 | Target: 0.80 | Reward A: 23.769 | H: 1.090
Epoch   7 | Survival: 0.20 | Target: 0.20 | Reward A: 56.350 | H: 1.093
Epoch   8 | Survival: 0.30 | Target: 0.30 | Reward A: 66.348 | H: 1.083
Epoch   9 | Survival: 0.40 | Target: 0.40 | Reward A: 43.842 | H: 1.089
Epoch  10 | Survival: 0.10 | Target: 0.10 | Reward A: 57.141 | H: 1.074
Epoch  11 | Survival: 0.00 | Target: 0.00 | Reward A: 68.859 | H: 1.073
Epoch  12 | Survival: 0.10 | Target: 0.10 | Reward A: 66.311 | H: 1.092
Epoch  13 | Survival: 0.40 | Target: 0.40 | Reward A: 40.085 | H: 1.079
Epoch  14 | Survival: 0.20 | Target: 0.20 | Reward A: 35.532 | H: 1.075
Epoch  15 | Survival: 0.00 | Target: 0.00 | Reward A: 40.851 | H: 1.073
Epoch  16 | Survival: 0.10 | Target: 0.10 | Reward A: 76.593 | H: 1.089
Epoch  17 | Survival: 0.20 | Target: 0.20 | Reward A: 51.008 | H: 1.082
Epoch  18 | Survival: 0.00 | Target: 0.00 | Reward A: 74.193 | H: 1.085
Epoch  19 | Survival: 0.00 | Target: 0.00 | Reward A: 50.119 | H: 1.098
Epoch  20 | Survival: 0.00 | Target: 0.00 | Reward A: 39.081 | H: 1.086
Epoch  21 | Survival: 0.10 | Target: 0.10 | Reward A: 73.744 | H: 1.091
