# low_pressure seed=5 started 2026-02-24T15:48:15.808463
# cmd: C:\Users\btisl\miniconda3\python.exe -m simulation.engine --seed 5 --epochs 500 --episodes 10 --protocol 1 --declare-cost 1.0 --query-cost 1.2 --respond-cost 0.9 --output-dir D:\Claude_Code\project_7\dynamic-cross-origin-constraint\data\campaign\low_pressure\seed_05

Epoch   0 | Survival: 0.40 | Target: 0.40 | Reward A: 33.928 | H: 1.083
Epoch   1 | Survival: 0.10 | Target: 0.10 | Reward A: 67.319 | H: 1.089
Epoch   2 | Survival: 0.50 | Target: 0.50 | Reward A: 29.402 | H: 1.080
Epoch   3 | Survival: 0.30 | Target: 0.30 | Reward A: 30.552 | H: 1.084
Epoch   4 | Survival: 0.10 | Target: 0.10 | Reward A: 32.689 | H: 1.070
Epoch   5 | Survival: 0.60 | Target: 0.60 | Reward A: 33.309 | H: 1.080
Epoch   6 | Survival: 0.70 | Target: 0.70 | Reward A: 56.160 | H: 1.092
Epoch   7 | Survival: 0.00 | Target: 0.00 | Reward A: 66.757 | H: 1.068
Epoch   8 | Survival: 0.10 | Target: 0.10 | Reward A: 77.984 | H: 1.068
Epoch   9 | Survival: 0.30 | Target: 0.30 | Reward A: 73.002 | H: 1.058
Epoch  10 | Survival: 0.30 | Target: 0.30 | Reward A: 54.115 | H: 1.088
Epoch  11 | Survival: 0.40 | Target: 0.40 | Reward A: 62.787 | H: 1.065
Epoch  12 | Survival: 0.20 | Target: 0.20 | Reward A: 55.988 | H: 1.059
Epoch  13 | Survival: 0.10 | Target: 0.10 | Reward A: 37.415 | H: 1.061
Epoch  14 | Survival: 0.30 | Target: 0.30 | Reward A: 41.847 | H: 1.051
Epoch  15 | Survival: 0.20 | Target: 0.20 | Reward A: 57.338 | H: 1.057
Epoch  16 | Survival: 0.00 | Target: 0.00 | Reward A: 51.835 | H: 1.069
Epoch  17 | Survival: 0.00 | Target: 0.00 | Reward A: 66.144 | H: 1.075
Epoch  18 | Survival: 0.10 | Target: 0.10 | Reward A: 47.207 | H: 1.070
Epoch  19 | Survival: 0.10 | Target: 0.10 | Reward A: 32.036 | H: 1.058
Epoch  20 | Survival: 0.00 | Target: 0.00 | Reward A: 77.812 | H: 1.076
Epoch  21 | Survival: 0.20 | Target: 0.20 | Reward A: 55.382 | H: 1.075
Epoch  22 | Survival: 0.00 | Target: 0.00 | Reward A: 54.644 | H: 1.066
Epoch  23 | Survival: 0.90 | Target: 0.90 | Reward A: 6.499 | H: 1.080
Epoch  24 | Survival: 0.00 | Target: 0.00 | Reward A: 49.351 | H: 1.077
Epoch  25 | Survival: 0.10 | Target: 0.10 | Reward A: 43.651 | H: 1.070
Epoch  26 | Survival: 0.00 | Target: 0.00 | Reward A: 60.591 | H: 1.081
Epoch  27 | Survival: 0.40 | Target: 0.40 | Reward A: 51.199 | H: 1.079
Epoch  28 | Survival: 0.00 | Target: 0.00 | Reward A: 48.321 | H: 1.061
Epoch  29 | Survival: 0.50 | Target: 0.50 | Reward A: 41.475 | H: 1.079
Epoch  30 | Survival: 0.30 | Target: 0.30 | Reward A: 66.896 | H: 1.083
Epoch  31 | Survival: 0.40 | Target: 0.40 | Reward A: 31.299 | H: 1.067
Epoch  32 | Survival: 0.00 | Target: 0.00 | Reward A: 47.931 | H: 1.071
Epoch  33 | Survival: 0.10 | Target: 0.10 | Reward A: 58.573 | H: 1.072
Epoch  34 | Survival: 0.40 | Target: 0.40 | Reward A: 55.418 | H: 1.083
Epoch  35 | Survival: 0.10 | Target: 0.10 | Reward A: 59.728 | H: 1.077
Epoch  36 | Survival: 0.30 | Target: 0.30 | Reward A: 35.761 | H: 1.043
Epoch  37 | Survival: 0.80 | Target: 0.80 | Reward A: 51.025 | H: 1.074
Epoch  38 | Survival: 0.40 | Target: 0.40 | Reward A: 55.204 | H: 1.043
Epoch  39 | Survival: 0.10 | Target: 0.10 | Reward A: 82.153 | H: 1.055
Epoch  40 | Survival: 0.40 | Target: 0.40 | Reward A: 44.501 | H: 1.052
Epoch  41 | Survival: 0.10 | Target: 0.10 | Reward A: 55.370 | H: 1.038
Epoch  42 | Survival: 0.00 | Target: 0.00 | Reward A: 59.346 | H: 1.062
Epoch  43 | Survival: 0.50 | Target: 0.50 | Reward A: 41.594 | H: 1.010
Epoch  44 | Survival: 0.00 | Target: 0.00 | Reward A: 72.713 | H: 1.018
Epoch  45 | Survival: 0.00 | Target: 0.00 | Reward A: 31.424 | H: 1.009
Epoch  46 | Survival: 0.00 | Target: 0.00 | Reward A: 38.708 | H: 1.042
Epoch  47 | Survival: 0.10 | Target: 0.10 | Reward A: 67.283 | H: 1.025
Epoch  48 | Survival: 0.20 | Target: 0.20 | Reward A: 66.676 | H: 1.019
Epoch  49 | Survival: 0.10 | Target: 0.10 | Reward A: 59.202 | H: 0.971
Epoch  50 | Survival: 0.00 | Target: 0.00 | Reward A: 44.713 | H: 0.996
Epoch  51 | Survival: 0.60 | Target: 0.60 | Reward A: 41.423 | H: 0.960
Epoch  52 | Survival: 0.10 | Target: 0.10 | Reward A: 52.396 | H: 0.942
Epoch  53 | Survival: 1.00 | Target: 1.00 | Reward A: 25.723 | H: 0.944
Epoch  54 | Survival: 0.20 | Target: 0.20 | Reward A: 36.322 | H: 0.922
Epoch  55 | Survival: 0.00 | Target: 0.00 | Reward A: 57.873 | H: 0.916
Epoch  56 | Survival: 0.80 | Target: 0.80 | Reward A: 37.804 | H: 0.837
Epoch  57 | Survival: 0.50 | Target: 0.50 | Reward A: 47.496 | H: 0.915
Epoch  58 | Survival: 0.20 | Target: 0.20 | Reward A: 64.374 | H: 0.879
Epoch  59 | Survival: 0.30 | Target: 0.30 | Reward A: 66.133 | H: 0.858
Epoch  60 | Survival: 0.10 | Target: 0.10 | Reward A: 68.255 | H: 0.885
Epoch  61 | Survival: 0.20 | Target: 0.20 | Reward A: 36.374 | H: 0.854
Epoch  62 | Survival: 0.00 | Target: 0.00 | Reward A: 71.412 | H: 0.871
Epoch  63 | Survival: 0.10 | Target: 0.10 | Reward A: 58.843 | H: 0.868
Epoch  64 | Survival: 0.20 | Target: 0.20 | Reward A: 66.835 | H: 0.861
Epoch  65 | Survival: 0.00 | Target: 0.00 | Reward A: 61.729 | H: 0.826
Epoch  66 | Survival: 0.00 | Target: 0.00 | Reward A: 70.176 | H: 0.821
Epoch  67 | Survival: 0.00 | Target: 0.00 | Reward A: 50.141 | H: 0.807
Epoch  68 | Survival: 0.00 | Target: 0.00 | Reward A: 51.572 | H: 0.791
Epoch  69 | Survival: 0.10 | Target: 0.10 | Reward A: 62.287 | H: 0.845
Epoch  70 | Survival: 0.00 | Target: 0.00 | Reward A: 46.963 | H: 0.820
Epoch  71 | Survival: 0.20 | Target: 0.20 | Reward A: 33.252 | H: 0.806
Epoch  72 | Survival: 0.00 | Target: 0.00 | Reward A: 71.681 | H: 0.791
Epoch  73 | Survival: 0.00 | Target: 0.00 | Reward A: 51.883 | H: 0.808
Epoch  74 | Survival: 0.70 | Target: 0.70 | Reward A: 35.690 | H: 0.805
Epoch  75 | Survival: 0.70 | Target: 0.70 | Reward A: 30.989 | H: 0.819
Epoch  76 | Survival: 0.20 | Target: 0.20 | Reward A: 37.453 | H: 0.790
