# extreme seed=4 started 2026-02-25T09:34:35.454555
# cmd: C:\Users\btisl\miniconda3\python.exe -m simulation.engine --seed 4 --epochs 500 --episodes 10 --protocol 1 --declare-cost 1.0 --query-cost 5.0 --respond-cost 0.3 --output-dir D:\Claude_Code\project_7\dynamic-cross-origin-constraint\data\campaign\extreme\seed_04

Epoch   0 | Survival: 0.00 | Target: 0.00 | Reward A: 48.118 | H: 1.094
Epoch   1 | Survival: 0.70 | Target: 0.70 | Reward A: 36.470 | H: 1.089
Epoch   2 | Survival: 0.20 | Target: 0.20 | Reward A: 56.910 | H: 1.085
Epoch   3 | Survival: 0.40 | Target: 0.40 | Reward A: 28.096 | H: 1.085
Epoch   4 | Survival: 0.30 | Target: 0.30 | Reward A: 37.683 | H: 1.076
Epoch   5 | Survival: 0.20 | Target: 0.20 | Reward A: 34.660 | H: 1.061
Epoch   6 | Survival: 0.70 | Target: 0.70 | Reward A: 33.031 | H: 1.079
Epoch   7 | Survival: 0.30 | Target: 0.30 | Reward A: 58.030 | H: 1.083
Epoch   8 | Survival: 0.20 | Target: 0.20 | Reward A: 60.480 | H: 1.078
Epoch   9 | Survival: 0.50 | Target: 0.50 | Reward A: 53.775 | H: 1.092
Epoch  10 | Survival: 0.00 | Target: 0.00 | Reward A: 67.184 | H: 1.092
Epoch  11 | Survival: 0.10 | Target: 0.10 | Reward A: 48.888 | H: 1.098
Epoch  12 | Survival: 0.50 | Target: 0.50 | Reward A: 57.132 | H: 1.089
Epoch  13 | Survival: 0.90 | Target: 0.90 | Reward A: 33.381 | H: 1.085
Epoch  14 | Survival: 0.10 | Target: 0.10 | Reward A: 37.897 | H: 1.094
Epoch  15 | Survival: 0.00 | Target: 0.00 | Reward A: 44.884 | H: 1.094
Epoch  16 | Survival: 0.10 | Target: 0.10 | Reward A: 65.203 | H: 1.082
Epoch  17 | Survival: 0.30 | Target: 0.30 | Reward A: 54.261 | H: 1.094
Epoch  18 | Survival: 0.00 | Target: 0.00 | Reward A: 67.137 | H: 1.090
Epoch  19 | Survival: 0.20 | Target: 0.20 | Reward A: 42.577 | H: 1.088
Epoch  20 | Survival: 0.00 | Target: 0.00 | Reward A: 28.902 | H: 1.048
Epoch  21 | Survival: 0.00 | Target: 0.00 | Reward A: 51.316 | H: 1.063
Epoch  22 | Survival: 0.20 | Target: 0.20 | Reward A: 40.366 | H: 1.092
Epoch  23 | Survival: 0.30 | Target: 0.30 | Reward A: 56.157 | H: 1.065
Epoch  24 | Survival: 0.60 | Target: 0.60 | Reward A: 14.309 | H: 1.089
Epoch  25 | Survival: 0.10 | Target: 0.10 | Reward A: 51.899 | H: 1.053
Epoch  26 | Survival: 0.00 | Target: 0.00 | Reward A: 48.396 | H: 1.069
Epoch  27 | Survival: 0.50 | Target: 0.50 | Reward A: 58.283 | H: 1.051
Epoch  28 | Survival: 0.10 | Target: 0.10 | Reward A: 61.231 | H: 1.068
Epoch  29 | Survival: 0.00 | Target: 0.00 | Reward A: 48.261 | H: 1.052
Epoch  30 | Survival: 0.00 | Target: 0.00 | Reward A: 37.616 | H: 1.061
Epoch  31 | Survival: 0.00 | Target: 0.00 | Reward A: 54.086 | H: 1.021
Epoch  32 | Survival: 0.00 | Target: 0.00 | Reward A: 39.126 | H: 1.059
Epoch  33 | Survival: 0.00 | Target: 0.00 | Reward A: 54.483 | H: 1.029
Epoch  34 | Survival: 0.00 | Target: 0.00 | Reward A: 57.009 | H: 0.994
Epoch  35 | Survival: 0.40 | Target: 0.40 | Reward A: 58.326 | H: 1.002
Epoch  36 | Survival: 0.60 | Target: 0.60 | Reward A: 44.934 | H: 0.998
Epoch  37 | Survival: 0.30 | Target: 0.30 | Reward A: 38.998 | H: 1.043
Epoch  38 | Survival: 0.40 | Target: 0.40 | Reward A: 60.147 | H: 0.992
Epoch  39 | Survival: 0.30 | Target: 0.30 | Reward A: 72.459 | H: 1.007
Epoch  40 | Survival: 0.50 | Target: 0.50 | Reward A: 75.757 | H: 0.999
Epoch  41 | Survival: 0.10 | Target: 0.10 | Reward A: 63.782 | H: 1.012
Epoch  42 | Survival: 0.20 | Target: 0.20 | Reward A: 55.605 | H: 0.981
Epoch  43 | Survival: 0.10 | Target: 0.10 | Reward A: 47.773 | H: 1.011
Epoch  44 | Survival: 0.00 | Target: 0.00 | Reward A: 32.652 | H: 1.012
Epoch  45 | Survival: 0.30 | Target: 0.30 | Reward A: 60.604 | H: 0.995
Epoch  46 | Survival: 0.00 | Target: 0.00 | Reward A: 36.094 | H: 1.008
Epoch  47 | Survival: 0.00 | Target: 0.00 | Reward A: 42.758 | H: 1.017
Epoch  48 | Survival: 0.10 | Target: 0.10 | Reward A: 71.008 | H: 0.981
Epoch  49 | Survival: 0.00 | Target: 0.00 | Reward A: 49.491 | H: 0.995
Epoch  50 | Survival: 0.00 | Target: 0.00 | Reward A: 71.729 | H: 0.971
Epoch  51 | Survival: 0.20 | Target: 0.20 | Reward A: 51.315 | H: 0.960
