# low_pressure seed=13 started 2026-02-24T16:12:44.570864
# cmd: C:\Users\btisl\miniconda3\python.exe -m simulation.engine --seed 13 --epochs 500 --episodes 10 --protocol 1 --declare-cost 1.0 --query-cost 1.2 --respond-cost 0.9 --output-dir D:\Claude_Code\project_7\dynamic-cross-origin-constraint\data\campaign\low_pressure\seed_13

Epoch   0 | Survival: 0.20 | Target: 0.20 | Reward A: 50.745 | H: 1.088
Epoch   1 | Survival: 0.20 | Target: 0.20 | Reward A: 58.758 | H: 1.072
Epoch   2 | Survival: 0.30 | Target: 0.30 | Reward A: 59.011 | H: 1.082
Epoch   3 | Survival: 0.10 | Target: 0.10 | Reward A: 60.255 | H: 1.080
Epoch   4 | Survival: 0.40 | Target: 0.40 | Reward A: 32.337 | H: 1.077
Epoch   5 | Survival: 0.00 | Target: 0.00 | Reward A: 37.120 | H: 1.084
Epoch   6 | Survival: 0.30 | Target: 0.30 | Reward A: 40.663 | H: 1.088
Epoch   7 | Survival: 0.50 | Target: 0.50 | Reward A: 60.728 | H: 1.082
Epoch   8 | Survival: 0.10 | Target: 0.10 | Reward A: 72.625 | H: 1.088
Epoch   9 | Survival: 0.00 | Target: 0.00 | Reward A: 72.732 | H: 1.073
Epoch  10 | Survival: 0.60 | Target: 0.60 | Reward A: 25.495 | H: 1.078
Epoch  11 | Survival: 0.00 | Target: 0.00 | Reward A: 33.580 | H: 1.077
Epoch  12 | Survival: 0.00 | Target: 0.00 | Reward A: 57.898 | H: 1.084
Epoch  13 | Survival: 0.00 | Target: 0.00 | Reward A: 53.698 | H: 1.066
Epoch  14 | Survival: 0.40 | Target: 0.40 | Reward A: 58.975 | H: 1.066
Epoch  15 | Survival: 0.60 | Target: 0.60 | Reward A: 20.708 | H: 1.080
Epoch  16 | Survival: 0.00 | Target: 0.00 | Reward A: 56.815 | H: 1.053
Epoch  17 | Survival: 0.10 | Target: 0.10 | Reward A: 43.693 | H: 1.060
Epoch  18 | Survival: 0.20 | Target: 0.20 | Reward A: 62.899 | H: 1.055
Epoch  19 | Survival: 0.30 | Target: 0.30 | Reward A: 45.162 | H: 1.052
Epoch  20 | Survival: 0.00 | Target: 0.00 | Reward A: 45.818 | H: 1.053
Epoch  21 | Survival: 0.00 | Target: 0.00 | Reward A: 47.690 | H: 1.038
Epoch  22 | Survival: 0.30 | Target: 0.30 | Reward A: 71.356 | H: 1.023
Epoch  23 | Survival: 0.00 | Target: 0.00 | Reward A: 37.941 | H: 1.024
Epoch  24 | Survival: 0.00 | Target: 0.00 | Reward A: 41.691 | H: 1.009
Epoch  25 | Survival: 0.00 | Target: 0.00 | Reward A: 70.496 | H: 1.006
Epoch  26 | Survival: 0.30 | Target: 0.30 | Reward A: 52.011 | H: 1.031
Epoch  27 | Survival: 0.20 | Target: 0.20 | Reward A: 54.595 | H: 1.024
Epoch  28 | Survival: 0.20 | Target: 0.20 | Reward A: 38.990 | H: 1.017
Epoch  29 | Survival: 0.70 | Target: 0.70 | Reward A: 58.093 | H: 0.986
Epoch  30 | Survival: 0.00 | Target: 0.00 | Reward A: 60.983 | H: 0.983
Epoch  31 | Survival: 0.30 | Target: 0.30 | Reward A: 70.684 | H: 0.982
Epoch  32 | Survival: 0.00 | Target: 0.00 | Reward A: 52.093 | H: 0.998
Epoch  33 | Survival: 0.40 | Target: 0.40 | Reward A: 46.219 | H: 0.988
Epoch  34 | Survival: 0.20 | Target: 0.20 | Reward A: 59.511 | H: 0.991
Epoch  35 | Survival: 0.20 | Target: 0.20 | Reward A: 58.411 | H: 0.976
Epoch  36 | Survival: 0.10 | Target: 0.10 | Reward A: 71.273 | H: 0.984
Epoch  37 | Survival: 0.00 | Target: 0.00 | Reward A: 31.546 | H: 0.978
Epoch  38 | Survival: 0.00 | Target: 0.00 | Reward A: 58.343 | H: 0.981
Epoch  39 | Survival: 0.40 | Target: 0.40 | Reward A: 53.147 | H: 0.956
Epoch  40 | Survival: 0.40 | Target: 0.40 | Reward A: 68.432 | H: 0.960
