# baseline seed=10 started 2026-02-24T07:05:44.850882
# cmd: C:\Users\btisl\miniconda3\python.exe -m simulation.engine --seed 10 --epochs 500 --episodes 10 --protocol 1 --declare-cost 1.0 --query-cost 1.5 --respond-cost 0.8 --output-dir D:\Claude_Code\project_7\dynamic-cross-origin-constraint\data\campaign\baseline\seed_10

Epoch   0 | Survival: 0.60 | Target: 0.60 | Reward A: 35.273 | H: 1.092
Epoch   1 | Survival: 0.30 | Target: 0.30 | Reward A: 72.741 | H: 1.071
Epoch   2 | Survival: 0.00 | Target: 0.00 | Reward A: 67.739 | H: 1.070
Epoch   3 | Survival: 0.50 | Target: 0.50 | Reward A: 56.522 | H: 1.062
Epoch   4 | Survival: 0.60 | Target: 0.60 | Reward A: 53.094 | H: 1.082
Epoch   5 | Survival: 0.30 | Target: 0.30 | Reward A: 51.703 | H: 1.049
Epoch   6 | Survival: 0.10 | Target: 0.10 | Reward A: 69.352 | H: 1.042
Epoch   7 | Survival: 0.40 | Target: 0.40 | Reward A: 49.148 | H: 1.075
Epoch   8 | Survival: 0.00 | Target: 0.00 | Reward A: 36.860 | H: 1.024
Epoch   9 | Survival: 0.30 | Target: 0.30 | Reward A: 45.483 | H: 1.004
Epoch  10 | Survival: 0.00 | Target: 0.00 | Reward A: 51.616 | H: 1.033
Epoch  11 | Survival: 0.10 | Target: 0.10 | Reward A: 53.763 | H: 1.061
Epoch  12 | Survival: 0.00 | Target: 0.00 | Reward A: 52.713 | H: 1.026
Epoch  13 | Survival: 0.40 | Target: 0.40 | Reward A: 42.552 | H: 1.017
Epoch  14 | Survival: 0.00 | Target: 0.00 | Reward A: 38.721 | H: 1.003
Epoch  15 | Survival: 0.00 | Target: 0.00 | Reward A: 49.605 | H: 1.019
Epoch  16 | Survival: 0.00 | Target: 0.00 | Reward A: 55.496 | H: 1.025
Epoch  17 | Survival: 0.20 | Target: 0.20 | Reward A: 64.779 | H: 1.020
Epoch  18 | Survival: 0.70 | Target: 0.70 | Reward A: 15.408 | H: 1.066
Epoch  19 | Survival: 0.70 | Target: 0.70 | Reward A: 51.236 | H: 0.976
Epoch  20 | Survival: 0.00 | Target: 0.00 | Reward A: 35.590 | H: 0.968
Epoch  21 | Survival: 0.00 | Target: 0.00 | Reward A: 62.959 | H: 0.990
Epoch  22 | Survival: 0.20 | Target: 0.20 | Reward A: 60.850 | H: 0.982
Epoch  23 | Survival: 0.10 | Target: 0.10 | Reward A: 44.256 | H: 0.960
Epoch  24 | Survival: 0.00 | Target: 0.00 | Reward A: 37.829 | H: 0.910
Epoch  25 | Survival: 0.10 | Target: 0.10 | Reward A: 55.957 | H: 0.945
Epoch  26 | Survival: 0.00 | Target: 0.00 | Reward A: 37.127 | H: 0.916
Epoch  27 | Survival: 0.00 | Target: 0.00 | Reward A: 60.220 | H: 0.933
Epoch  28 | Survival: 0.00 | Target: 0.00 | Reward A: 43.215 | H: 0.882
Epoch  29 | Survival: 0.70 | Target: 0.70 | Reward A: 37.310 | H: 0.945
Epoch  30 | Survival: 0.60 | Target: 0.60 | Reward A: 48.017 | H: 0.869
Epoch  31 | Survival: 0.20 | Target: 0.20 | Reward A: 33.245 | H: 0.840
Epoch  32 | Survival: 0.30 | Target: 0.30 | Reward A: 58.371 | H: 0.891
Epoch  33 | Survival: 0.00 | Target: 0.00 | Reward A: 64.357 | H: 0.840
Epoch  34 | Survival: 0.20 | Target: 0.20 | Reward A: 71.045 | H: 0.856
Epoch  35 | Survival: 0.20 | Target: 0.20 | Reward A: 63.090 | H: 0.846
Epoch  36 | Survival: 0.20 | Target: 0.20 | Reward A: 59.441 | H: 0.805
Epoch  37 | Survival: 0.10 | Target: 0.10 | Reward A: 67.503 | H: 0.804
Epoch  38 | Survival: 0.10 | Target: 0.10 | Reward A: 59.301 | H: 0.813
Epoch  39 | Survival: 0.10 | Target: 0.10 | Reward A: 71.617 | H: 0.816
Epoch  40 | Survival: 0.00 | Target: 0.00 | Reward A: 29.960 | H: 0.821
Epoch  41 | Survival: 0.00 | Target: 0.00 | Reward A: 56.481 | H: 0.848
Epoch  42 | Survival: 0.00 | Target: 0.00 | Reward A: 67.421 | H: 0.783
Epoch  43 | Survival: 0.30 | Target: 0.30 | Reward A: 70.473 | H: 0.807
Epoch  44 | Survival: 0.20 | Target: 0.20 | Reward A: 49.502 | H: 0.800
Epoch  45 | Survival: 0.00 | Target: 0.00 | Reward A: 52.828 | H: 0.776
Epoch  46 | Survival: 0.50 | Target: 0.50 | Reward A: 40.503 | H: 0.792
Epoch  47 | Survival: 0.50 | Target: 0.50 | Reward A: 42.503 | H: 0.775
Epoch  48 | Survival: 0.70 | Target: 0.70 | Reward A: 38.811 | H: 0.821
Epoch  49 | Survival: 0.00 | Target: 0.00 | Reward A: 37.978 | H: 0.799
Epoch  50 | Survival: 0.30 | Target: 0.30 | Reward A: 38.869 | H: 0.819
Epoch  51 | Survival: 0.20 | Target: 0.20 | Reward A: 72.167 | H: 0.793
Epoch  52 | Survival: 0.30 | Target: 0.30 | Reward A: 38.949 | H: 0.814
Epoch  53 | Survival: 0.00 | Target: 0.00 | Reward A: 64.375 | H: 0.795
Epoch  54 | Survival: 0.40 | Target: 0.40 | Reward A: 64.692 | H: 0.814
Epoch  55 | Survival: 0.00 | Target: 0.00 | Reward A: 51.484 | H: 0.857
Epoch  56 | Survival: 1.00 | Target: 1.00 | Reward A: 7.683 | H: 0.829
Epoch  57 | Survival: 0.10 | Target: 0.10 | Reward A: 81.618 | H: 0.795
Epoch  58 | Survival: 0.40 | Target: 0.40 | Reward A: 35.596 | H: 0.858
Epoch  59 | Survival: 0.40 | Target: 0.40 | Reward A: 67.149 | H: 0.840
Epoch  60 | Survival: 0.20 | Target: 0.20 | Reward A: 41.369 | H: 0.839
Epoch  61 | Survival: 0.30 | Target: 0.30 | Reward A: 69.617 | H: 0.843
Epoch  62 | Survival: 0.30 | Target: 0.30 | Reward A: 22.083 | H: 0.846
Epoch  63 | Survival: 0.50 | Target: 0.50 | Reward A: 33.178 | H: 0.864
Epoch  64 | Survival: 0.10 | Target: 0.10 | Reward A: 76.700 | H: 0.844
Epoch  65 | Survival: 0.10 | Target: 0.10 | Reward A: 35.030 | H: 0.882
Epoch  66 | Survival: 0.00 | Target: 0.00 | Reward A: 48.713 | H: 0.843
Epoch  67 | Survival: 0.00 | Target: 0.00 | Reward A: 66.445 | H: 0.806
Epoch  68 | Survival: 0.20 | Target: 0.20 | Reward A: 57.782 | H: 0.865
Epoch  69 | Survival: 0.40 | Target: 0.40 | Reward A: 67.459 | H: 0.826
Epoch  70 | Survival: 0.70 | Target: 0.70 | Reward A: 29.625 | H: 0.848
Epoch  71 | Survival: 0.10 | Target: 0.10 | Reward A: 65.541 | H: 0.845
Epoch  72 | Survival: 0.00 | Target: 0.00 | Reward A: 60.215 | H: 0.832
Epoch  73 | Survival: 0.00 | Target: 0.00 | Reward A: 52.539 | H: 0.825
Epoch  74 | Survival: 0.00 | Target: 0.00 | Reward A: 62.169 | H: 0.880
Epoch  75 | Survival: 0.50 | Target: 0.50 | Reward A: 60.026 | H: 0.860
Epoch  76 | Survival: 0.00 | Target: 0.00 | Reward A: 55.225 | H: 0.854
Epoch  77 | Survival: 0.10 | Target: 0.10 | Reward A: 67.207 | H: 0.837
Epoch  78 | Survival: 0.10 | Target: 0.10 | Reward A: 68.326 | H: 0.847
Epoch  79 | Survival: 0.00 | Target: 0.00 | Reward A: 50.804 | H: 0.881
Epoch  80 | Survival: 0.00 | Target: 0.00 | Reward A: 33.900 | H: 0.864
Epoch  81 | Survival: 0.10 | Target: 0.10 | Reward A: 44.762 | H: 0.874
Epoch  82 | Survival: 0.00 | Target: 0.00 | Reward A: 54.838 | H: 0.886
